fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,105,37,1,21,1
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,71,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,70,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,117,43,0,41,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,209,14,0,5,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,130,372,2,371,2
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,65,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,77,36,0,35,0
dan_hyvl_000_1_1.pst.112.xls,Purchasers:A119,84,59,0,59,0
andy_zipper_000_1_1.pst.54.xls,DD-EGL:P29,65,3,0,3,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,249,729,5,729,5
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:F2288,129,1,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Oct :Q16,104,127,1,127,1
benjamin_rogers_000_1_1.pst.12.xls,Peak:B57,234,2,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Curves:A1,1244,899,28,899,29
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,108,139,0,139,0
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3505,364,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,149,306,1,306,1
tracy_geaccone_000_1_1.pst.307.xls,Annual Fuel Calc Alt:I30,378,69,1,69,1
jeff_dasovich_000_1_1_1.pst.91.xls,Template:N9,77,6,0,5,0
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,91,35,0,35,0
gstorey_000_1_1.pst.116.xls,InputOutputSheet:S14,2398,360,2,2,2
scott_neal_000_1_1.pst.156.xls,Correlations:BC3,193,300,2,1,2
don_baughman_000_1_1.pst.137.xls,Sheet1:C38,109,37,1,21,1
