fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
jeff_dasovich_000_1_1_1.pst.91.xls,Sept 22:K80,73,9,0,8,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,87,46,0,45,0
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,2247,2639,25,2626,26
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,182,6526,80,6523,85
don_baughman_000_1_1.pst.137.xls,Sheet1:C20,100,37,1,21,1
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:N47,327,366,4,11,4
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,143,875,8,865,9
jane_tholt_000_1_1.pst.123.xls,Summary:B185,83,2333,61,2333,63
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,83,52,0,1,0
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,643,8312,87,8302,94
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AW14,136,584,11,583,12
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:C58,230,667,7,667,8
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:E5,521,162,1,162,1
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,132,2017,11,2017,13
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
chris_germany_000_1_2.pst.1047.xls,Sheet2:K602,399,127,1,126,1
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:B9,69,60,0,60,0
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,126,1113,8,1113,9
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:D58,125,292,3,292,3
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:CU4,529,17832,173,17831,192
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,81,37,1,15,1
david_delainey_000_1_2.pst.135.xls,balance sheet:I4,113,225,2,225,2
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,74,772,5,1,5
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,162,1098,11,1087,12
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,1505,4385,67,4385,70
andy_zipper_000_1_1.pst.63.xls,DD-ENA:F500,62,8,0,8,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
benjamin_rogers_000_1_1.pst.204.xls,Wheatland:Z66,106,46,0,45,0
kevin_presto_000_1_1.pst.473.xls,Q3 2001:C250,289,245,1,1,1
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,805,4545,43,4541,46
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,1556,4385,68,4385,71
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,55,597,3,1,3
vkaminski_000_1_1_1.pst.216.xls,w5000:B361,124,895,9,895,9
chris_germany_000_1_2.pst.1075.xls,Sheet2:K231,418,127,1,126,1
chris_germany_000_1_2.pst.1032.xls,11-99:U11,71,31,0,2,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:T5,110,249,1,9,1
daren_farmer_000_1_1.pst.313.xls,thursday:N556,84,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,151,225,2,216,2
craig_dean_000_1_1.pst.28.xls,May3:C2,62,48,0,2,1
larry_may_000_1_1.pst.309.xls,DATA:B3,172,60,0,1,0
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,98,952,7,1,7
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,495,14018,122,14017,139
drew_fossum_000_1_1.pst.224.xls,Jul:A9,46,199,2,199,2
chris_germany_000_1_2.pst.162.xls,gatherco:J3,136,1132,6,1132,7
vkaminski_000_1_1_1.pst.171.xls,TIN:B3288,343,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C20,100,37,0,21,0
andy_zipper_000_1_1.pst.138.xls,TRANSACTIONSUMMARYREPORT -1:N4780,768,9,0,4,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,143,306,1,306,1
matthew_lenhart_000_1_1.pst.20.xls,Power Curve:J5,1036,31846,559,31846,585
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,123,372,2,371,2
andy_zipper_000_1_1.pst.83.xls,TRANSACTIONSUMMARYREPORT -1:Q4713,454,9,0,4,0
tracy_geaccone_000_1_1.pst.428.xls,Americas-ESGVC4:E84,87,108,1,108,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:A25,113,88,0,1,1
benjamin_rogers_000_1_1.pst.104.xls,ZONE G OFFPEAK:C7,115,96,1,96,1
andy_zipper_000_1_1.pst.79.xls,DD-ENA:F500,57,8,0,8,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C20,100,37,1,21,1
phillip_allen_000_1_1.pst.302.xls,Raw Data:CB5,313,545,4,545,4
jane_tholt_000_1_1.pst.186.xls,Sales:C9,67,1986,14,508,15
don_baughman_000_1_1.pst.145.xls,Sheet1:C20,101,37,1,21,1
don_baughman_000_1_1.pst.102.xls,Sheet1:C20,99,37,1,21,1
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,163,2232,16,2232,18
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AW14,247,584,10,583,11
don_baughman_000_1_1.pst.188.xls,Sheet1:C20,100,37,1,21,1
andrew_lewis_000_1_1.pst.12.xls,Swap:Z3,56,909,6,909,6
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,133,2016,12,2016,13
benjamin_rogers_000_1_1.pst.154.xls,Depreciation:Z46,66,543,4,543,4
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,92,2003,9,1,10
keith_holst_000_1_1.pst.144.xls,FizIndexStart:S63,243,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,114,20,1,20,1
louise_kitchen_001_1_1_1.pst.364.xls,West Power Origination:M21,52,54,0,54,0
benjamin_rogers_001_1_1.pst.27.xls,Wheatland:Z66,86,46,0,45,0
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1574,16611,234,16610,244
john_griffith_000_1_1.pst.1000.xls,Spread Option:A11,129,95,1,80,1
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:V84,322,2,0,2,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103833 - Headcount:B31,105,208,1,208,1
kim_ward_000_1_2.pst.428.xls,Sales:C9,67,1986,13,508,14
tracy_geaccone_000_1_1.pst.306.xls,WESTCompare0201:AP7,316,454,4,454,4
john_hodge_000_1_1.pst.198.xls,load Info:L1070,258,8,0,4,0
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J69,99,251,2,251,2
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :H7,536,4381,54,4381,57
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E33,97,86,1,86,1
joe_parks_000_1_1.pst.315.xls,Leg2:F3,659,2536,21,2526,23
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:BT499,202,1,0,1,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C20,101,37,1,21,1
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,842,8649,96,8640,102
vladi_pimenov_000_1_1.pst.73.xls,Sheet1:C1,93,3948,29,3948,32
andy_zipper_000_1_1.pst.62.xls,DD-ENA:F500,68,8,0,8,0
andy_zipper_000_1_1.pst.146.xls,TRANSACTIONSUMMARYREPORT -1:N4780,841,9,0,4,0
benjamin_rogers_000_1_1.pst.169.xls,Maine Thermal:D100,587,695,6,695,6
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,91,61,0,61,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I4,108,123,0,123,0
larry_may_000_1_1.pst.114.xls,SWAPS PAGE:P2,117,173,1,173,1
vkaminski_000_1_1_1.pst.317.xls,volatility:G595,194,67,0,67,0
dutch_quigley_000_1_1.pst.210.xls,Swap:D11,194,364,3,353,3
don_baughman_000_1_1.pst.202.xls,8-1:C20,312,37,1,21,1
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,76,237,1,237,1
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:Z24,95,477,3,476,3
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:C58,215,667,6,667,6
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:C58,323,667,8,667,9
vkaminski_003_1_1_1.pst.73.xls,SpotCurves:F4,1137,4347,29,4342,32
joe_stepenovitch_000_1_1.pst.15.xls,DATA:F1380,33,3,0,1,0
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,1392,8313,84,8303,89
vkaminski_000_1_1_1.pst.173.xls,LEAD:B3288,347,7,0,5,0
daren_farmer_000_1_1.pst.1131.xls,Mar:I16,100,142,1,142,1
vkaminski_001_1_2_1.pst.100.xls,Forward Curves:C8,106,4080,71,4080,74
fletcher_sturm_000_1_1.pst.44.xls,Mar01:C62,379,159,3,157,3
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:F9,241,1077,5,1077,6
andy_zipper_000_1_1.pst.28.xls,TRANSACTIONSUMMARYREPORT -1:N4780,819,9,1,4,1
chris_germany_000_1_2.pst.1046.xls,Sheet2:K231,395,127,1,126,1
don_baughman_000_1_1.pst.193.xls,Sheet1:C20,99,37,1,21,1
chris_germany_000_1_2.pst.163.xls,gatherco:J3,106,1132,7,1132,8
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,1320,8313,82,8303,87
louise_kitchen_000_1_1_1_1.pst.247.xls,Cost Cancel Details:C58,215,667,6,667,7
craig_dean_000_1_1.pst.35.xls,SelfServeLoads:D24,321,15,0,15,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J65,105,251,2,251,2
darron_c_giron_000_1_1_1.pst.194.xls,PRD Location_Def:K3439,725,2,0,2,0
harry_arora_000_1_1.pst.12.xls,Gas Curves:BV2,330,413,3,3,3
john_arnold_000_1_2.pst.326.xls,model3:C20,294,2925,20,2925,21
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,2467,4613,907,4613,910
don_baughman_000_1_1.pst.150.xls,Sheet1:C20,98,37,1,21,1
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:J5,605,18030,193,18030,206
matthew_lenhart_001_1_1.pst.145.xls,OP.Power Desk Daily Price:B7,83,61,1,61,1
kim_ward_000_1_2.pst.383.xls,Sales:C9,67,1986,14,508,15
