fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
mike_grigsby_000_1_1_1.pst.260.xls,9620,27730,18740,225,124,122,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
mike_grigsby_000_1_1_1.pst.261.xls,9620,27730,18740,225,124,122,1,152,35,18349,0,0,0,0,2,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86
joe_parks_000_1_1.pst.296.xls,7077,12470,13817,40,42,183,1,336,40,13480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,7225,10290,12635,949,710,164,22,652,375,10303,0,0,0,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292
darrell_schoolcraft_000_1_1_1.pst.428.xls,7550,10747,13208,974,732,241,23,682,391,10778,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,296
darrell_schoolcraft_000_1_1_1.pst.700.xls,7543,10735,13199,969,727,180,23,682,391,10774,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291
lynn_blair_000_1_1.pst.12.xls,7542,10736,13196,973,728,179,23,682,391,10770,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,292
paul_y'barbo_000_1_1.pst.127.xls,7543,10735,13199,969,727,180,23,682,391,10774,0,0,0,0,22,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,291
dutch_quigley_000_1_1.pst.212.xls,6210,11195,12743,362,246,215,11,454,127,11492,0,0,0,0,24,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,84
dutch_quigley_000_1_1.pst.211.xls,6241,11185,12774,356,243,316,12,489,127,11492,0,0,0,0,24,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80
dutch_quigley_000_1_1.pst.210.xls,6009,10947,12541,352,241,220,12,489,128,11263,0,0,0,0,23,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78
mike_swerzbin_000_1_1.pst.4.xls,26378,52391,26378,710,355,351,1,366,3,25661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,351
stacey_white_000_1_1.pst.228.xls,16574,56879,45583,77,55,694,0,0,42,44842,0,0,0,0,8,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
errol_mclaughlin_jr_000_1_1.pst.23.xls,11325,19941,20643,145,137,246,2,226,118,20400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
errol_mclaughlin_jr_000_1_1.pst.24.xls,11325,19941,20643,145,137,212,2,226,118,20400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
benjamin_rogers_000_1_1.pst.57.xls,22562,50574,61967,418,452,859,2,593,399,60734,0,0,0,0,5,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46
vkaminski_002_1_1_1.pst.276.xls,15555,32505,37711,218,215,549,7,650,180,36438,0,0,0,0,6,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
harry_arora_000_1_1.pst.12.xls,19761,39683,47160,256,254,737,7,652,217,45879,0,0,0,0,7,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
