fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,226,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,181,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,105,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,945,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,3463,69509,47574,69509,47650
edevlet-mezarlik-verileri.xlsx,Toplam:B73,318,7,1,1,1
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1507,48920,447,48920,517
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1060,118,1,117,1
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,InProcess Conf:BA682143,496,9670,85,9670,97
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,106,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,339,6600,65,6600,72
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:C82,4063,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2308,946,6,1,6
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,462,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,107,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,64,2922,21,2922,24
freeze_example.xlsx,Sheet:B1043,419,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,414,29036,157,1,164
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,67,2,1,2,1
countytractfiles.xlsx,Sheet1:A6009,106,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,276,1,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,869,2466,20,2465,22
Solution_lesson_2.xlsx,All:G144984,296,4001,97,1,100
MensTennisRPI.xlsx,RPI:H3,5429,2613,13,1,14
webStore.xlsx,WebStore_dupes_marked:M2,1294,1699,12,2,12
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,172,227,1,1,1
fin-v8.xlsx,Sheet:F12022,7152,2,0,1,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:J16021,2736,2,1,1,1
CPIvs行业.xlsx,backtest:B617,5331,39963,399,39963,435
Coding Task.xlsx,Coding:AM9393,652,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:D10,384,2422,17,1,17
greige provision.xlsx,Final:Y5,466,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:F73,95,11,0,10,0
main.xlsx,1m:B4816,969,8,0,7,0
30_70_2ptGuided.xlsx,Sheet1:I255,9020,3,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1602 fam07 0.142859 vertical:C6,6401,189106,1904,189106,2188
MasterTestData.xlsx,Algo Format:M5,89,326,5,324,6
四象限行业选择.xlsx,日度数据:C12,473,4672,40,80,41
工作簿1-20181122140451052.xlsx,不良明细:CBJ5,106,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Convergence programme:K303,115,333,2,333,2
HS_videos_Smit_Cross_augmented_v06.xlsx,datapura:K1603,491,2767,29,2766,31
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,679,6,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,214,1536,14,1536,16
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,13221,1317,10,1,10
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:B75,85,420,5,420,5
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,1041,37358,388,37358,445
valores_produtos.xlsx,dados:E2,247,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,274,31,0,31,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,1006,4062,26,1,26
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,183,2,0,1,0
Raw.xlsx,calcs:BE53,86,42,0,40,0
P_Gh_T_S.xlsx,Sheet1:C1003,84,2,0,2,1
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,1128,2015,14,3,14
all cases and contacts 2021-07-01.xlsx,summary:C599,1482,36,1,23,1
data_problem.xlsx,PVs:B5,1868,3,0,1,0
EST_TRANS.xlsx,DATOS:B10219,404,1,0,1,0
MM2-0530H.xlsx,P1dB Pt:R17,125,12,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A6507,713,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,2504,63944,902,63943,965
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,WhatWasMissed_4Day:U118,59,102,0,102,0
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K1274,89,1,0,1,0
物理作业11.xlsx,Sheet1:IR152,1045,149,1,1,1
NHL 2007-08.xlsx,Players:AQ1085,1489,16,0,11,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,96,858,7,850,8
KBandFilter.xlsx,20GHZ:E926,166,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H2900,898,13,1,13,1
brti_excel_analysis.xlsx,brti_excel:B1728,124,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:P2,1511,16833,143,1,149
ecosystems_calculations_20211130.xlsx,0107:D66,253,21,1,2,1
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,367,6600,47,6600,53
工作簿1-20181122163651735.xlsx,不良明细:CBJ5,104,2,0,1,0
freezeExample.xlsx,Sheet:C22908,426,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:K7647,628,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,85,2837,14,2836,16
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:C13,325,6600,62,6600,68
peerrank copy.xlsx,figure3 data:BO469,2843,8,0,2,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Report:Y5,171,2526,14,1,15
lenderToProyek.xlsx,Sheet1:I5345,3282,4,0,3,0
TestTable.xlsx,Таблица по выездам:AE403,239,11,0,6,0
Quarterly-Engage-UA-Revenue.xlsx,Arcade FSM:K17,3013,84,1,84,1
20204-0.xlsx,Calcu_ADJ:G3,53,1304,12,1304,13
dist.xlsx,triangular:F2,57,1001,7,3,7
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:O9,481,2452,26,1,27
Covid SJC.xlsx,Dados sim recup log:B600,188,388,3,384,3
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CBJ5,101,2,0,1,0
تستور.xlsx,المشاريع:A3,164,355,1,1,1
RE6685.xlsx,RE6685:E5993,409,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AS1505,2659,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:C37203,2295,2,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,MOQ-306:BC10,216,454,3,454,4
vicon_udp_teensy.xlsx,200Hz_with_extra_64_python_xbee:B2,2910,11635,79,11635,89
