fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
tasa-de-homicidios.xlsx,Masivos:C6,145,7,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,2077,9,0,4,0
common.xlsx,Traditional:A1798,176,2,0,2,0
OECD.xlsx,AUT:S212,292,2,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,267,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2013,4,0,1,0
FN-2016-2019(1).xlsx,Monthly:B10,289,1,0,1,0
MLX90640 example data.xlsx,To calculation:B4,127,64,1,64,1
منزل النور.xlsx,المشاريع:A3,566,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,1100,7,1,3,1
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,852,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,98,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2570,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,216,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,1330,22,0,16,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,232,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,210,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,279,1,1,1,1
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,748,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,11091,263,4,13,4
edevlet-mezarlik-verileri.xlsx,Toplam:C452,262,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1678,11,1,11,1
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,1166,31,0,30,0
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,Fail list:T5,969,1,0,1,0
工作簿1-20181122170147433.xlsx,不良明细:CEA5,550,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,739,17,0,6,0
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:E7,5913,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2459,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,639,5,0,5,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,124,4,1,3,1
SunlightCalculator.xlsx,Arkusz2:B38,98,14,0,3,0
freeze_example.xlsx,Sheet:C529,376,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,648,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,101,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,74,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,237,1,0,1,0
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,1356,10,0,8,0
Solution_lesson_2.xlsx,All:F40,361,2,0,2,0
MensTennisRPI.xlsx,RPI:B285,4468,1,0,1,0
webStore.xlsx,WebStore_copy:AD40,3260,2,0,2,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,213,1,0,1,0
fin-v8.xlsx,Sheet:O13944,7776,2,0,2,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2569,2,0,1,0
CPIvs行业.xlsx,资产配置结论:E616,7582,19,0,14,0
Coding Task.xlsx,Coding:M14882,500,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:C10,666,2,0,1,0
greige provision.xlsx,Final:Q4,480,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:E370,293,11,0,10,0
main.xlsx,1m:B1675,1615,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:D36,9008,2,0,2,1
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1610 fam29 0.034482 old:F3,9499,2644,32,2643,34
MasterTestData.xlsx,Algo Format:R76,298,6,0,5,0
四象限行业选择.xlsx,日度数据:B4,635,19,0,4,0
工作簿1-20181122140451052.xlsx,不良明细:CEA5,244,1,0,1,0
Scen_SE_IND_DemandProj.xlsx,Projection New:AK154,221,196,2,194,2
HS_videos_Smit_Cross_augmented_v06.xlsx,HS data:L105,1161,142,5,27,5
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,846,6,0,1,0
DPS Calculator - Ninja.xlsx,Melee:B25,465,38,1,38,1
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,24191,190,1,1,2
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:C4,332,103,1,103,1
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,1285,16,0,16,0
valores_produtos.xlsx,dados:D3265,142,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,217,15,0,15,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,2269,1,0,1,0
工作簿1-20181122154759510.xlsx,不良明细:CEA5,236,1,0,1,0
Raw.xlsx,calcs:X99,175,19,1,1,1
P_Gh_T_S.xlsx,Sheet1:C38,147,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,1993,4,0,3,0
all cases and contacts 2021-07-01.xlsx,summary:D8925,1533,26,0,19,0
data_problem.xlsx,dwelling parameters:B2,1197,2,0,2,0
EST_TRANS.xlsx,DATOS:B9772,228,1,0,1,0
MM2-0530H.xlsx,2Rx2L:D153,236,3,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A3272,715,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,4014,40,0,39,0
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,NewDistributions:AE39,88,3,0,2,0
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K665,66,1,1,1,1
物理作业11.xlsx,Sheet1:HN152,2334,1,0,1,0
NHL 2007-08.xlsx,Players:BY1188,5926,4,0,2,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,355,11,0,7,0
KBandFilter.xlsx,20GHZ:I1172,138,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H43,764,7,0,7,0
