fileName,Longest Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
tracy_geaccone_000_1_1.pst.306.xls,Annual Fuel Calc Alt:L30,62,0,62,0
john_hodge_000_1_1.pst.198.xls,load Info:L910,8,0,4,0
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J11,251,2,251,2
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :I7,3,0,3,0
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E70,70,0,70,0
joe_parks_000_1_1.pst.315.xls,Monthly Value:D14,10,0,10,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:X531,1,0,1,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C38,37,0,21,1
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,73,0,72,0
vladi_pimenov_000_1_1.pst.73.xls,Price Sheet:B3,9,0,5,0
andy_zipper_000_1_1.pst.62.xls,DD-EGL:P29,3,0,3,0
andy_zipper_000_1_1.pst.146.xls,DD-EGL:P29,3,0,3,0
benjamin_rogers_000_1_1.pst.169.xls,ENA_Debt:B54,326,2,324,2
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,3,0,3,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I3,21,0,21,0
larry_may_000_1_1.pst.114.xls,curves:G2,1,0,1,0
vkaminski_000_1_1_1.pst.317.xls,volatility:H704,3,0,3,0
dutch_quigley_000_1_1.pst.210.xls,Opt:B10,1,0,1,0
don_baughman_000_1_1.pst.202.xls,8-1:C38,37,0,21,0
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,0,0,0,0
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:I39,10,0,9,0
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:D108,460,4,460,5
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:D108,460,5,460,5
vkaminski_003_1_1_1.pst.73.xls,CurveCreator:A4,1,0,1,0
joe_stepenovitch_000_1_1.pst.15.xls,DATA:S537,2,0,2,0
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,69,0,69,1
vkaminski_000_1_1_1.pst.173.xls,LEAD:B3505,7,1,5,1
daren_farmer_000_1_1.pst.1131.xls,Oct :Q16,11,0,11,0
vkaminski_001_1_2_1.pst.100.xls,Forward Curves:F98,36,0,36,0
fletcher_sturm_000_1_1.pst.44.xls,Mar01:E2,1,0,1,0
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:D30,6,0,2,0
andy_zipper_000_1_1.pst.28.xls,DD-EGL:P29,3,0,3,0
chris_germany_000_1_2.pst.1046.xls,Sheet2:K55,63,0,32,0
don_baughman_000_1_1.pst.193.xls,Sheet1:C38,37,0,21,0
chris_germany_000_1_2.pst.163.xls,Special Pricing:A327,7,0,6,0
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,69,1,69,1
louise_kitchen_000_1_1_1_1.pst.247.xls,Cost Cancel Details:D108,460,5,460,5
craig_dean_000_1_1.pst.35.xls,2CSC3ZONES 01SUM1 BASE CASE:H4780,2,0,1,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J11,251,3,251,3
darron_c_giron_000_1_1_1.pst.194.xls,PRD Location_Def:H3819,2,0,2,0
harry_arora_000_1_1.pst.12.xls,Gas Curves:BV2,0,0,0,0
john_arnold_000_1_2.pst.326.xls,model1:P19,8,0,8,0
harry_arora_000_1_1.pst.130.xls,WorkingData:Q5,4,0,2,0
don_baughman_000_1_1.pst.150.xls,Sheet1:C38,37,1,21,1
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:A1,5,0,5,0
matthew_lenhart_001_1_1.pst.145.xls,OP.Power Desk Daily Price:B7,3,0,3,0
kim_ward_000_1_2.pst.383.xls,July 17 Supply Price:A3,1,0,1,0
benjamin_rogers_000_1_1.pst.105.xls,STRIPS:C1,2,0,1,0
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:DU7,2,0,2,0
andy_zipper_000_1_1.pst.78.xls,DD-EGL:P29,3,0,3,0
andy_zipper_000_1_1.pst.167.xls,Deal Detail:K23,3,0,1,0
don_baughman_000_1_1.pst.144.xls,Sheet1:C38,37,0,21,0
don_baughman_000_1_1.pst.101.xls,Sheet1:C38,37,0,21,0
larry_campbell_000_1_1.pst.502.xls,Sheet1:C38,37,0,21,0
don_baughman_000_1_1.pst.187.xls,Sheet1:C38,37,0,21,0
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1042,13,1042,13
andy_zipper_000_1_1.pst.84.xls,DD-EGL:P29,3,0,3,0
chris_germany_000_1_2.pst.208.xls,Jan 01 trial:AB14,0,0,0,0
paul_y'barbo_000_1_1.pst.127.xls,Duke 500621:H12,32,0,30,0
vkaminski_001_1_2_1.pst.159.xls,Escalation:L13,1,0,1,0
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,28,1,27,1
matthew_lenhart_001_1_1.pst.173.xls,OP.Power Desk Daily Price:B7,3,0,3,0
john_arnold_000_1_2.pst.354.xls,Position:M4,8,0,7,0
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,4,0,4,0
vkaminski_000_1_1_1.pst.23.xls,Aux:H5,1,0,1,0
john_lavorato_001_1_1_1.pst.94.xls,CP Trade Data:F2,8,0,6,0
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:A4,10,0,8,0
thomas_martin_000_1_1_1.pst.194.xls,Physical Non EOL (2):B3,5,0,5,0
joe_parks_000_1_1.pst.296.xls,Data:J2,2,0,1,0
andy_zipper_000_1_1.pst.81.xls,DD-EGL:P29,3,0,3,0
tracy_geaccone_000_1_1.pst.198.xls,EREC-EREC4:E70,70,1,70,1
joe_parks_000_1_1.pst.121.xls,Permian Matrix:A113,105,1,31,1
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,5,0,5,0
cooper_richey_000_1_1.pst.30.xls,DATA:F38,2,0,1,0
andy_zipper_000_1_1.pst.73.xls,DD-EGL:P29,3,0,3,0
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,1,0,1,0
mike_grigsby_000_1_1_1.pst.108.xls,Curves:A1,75,1,75,1
benjamin_rogers_001_1_1.pst.34.xls,Wilton:Y135,28,0,28,0
larry_may_000_1_1.pst.311.xls,WEST GAMMA:B3,150,1,1,1
robin_rodrigue_000_1_1.pst.133.xls,Alberta Curve:D9,3,0,2,0
matthew_lenhart_001_1_1.pst.96.xls,OP.Power Desk Daily Price:B7,3,0,3,0
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B47,3010,38,3010,42
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:D30,6,0,2,0
vkaminski_000_1_1_1.pst.176.xls,ALUMINUM_S:B3505,7,0,5,0
jane_tholt_000_1_1.pst.18.xls,Assign To West Contracts:G47,101,1,98,1
don_baughman_000_1_1.pst.147.xls,Sheet1:C38,37,0,21,0
darron_c_giron_000_1_1_1.pst.165.xls,Run Query:D25,1,0,1,0
andy_zipper_000_1_1.pst.65.xls,DD-EGL:P10,4,1,4,1
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,1154,12,1133,12
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,28,0,27,0
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:DU7,2,0,2,0
darron_c_giron_002_1_1_1.pst.149.xls,Carley-Custodial:F6,77,0,75,0
benjamin_rogers_000_1_1.pst.57.xls,Gas Curves:BV2,0,0,0,0
andy_zipper_000_1_1.pst.88.xls,DD-EGL:P29,3,0,3,0
vkaminski_001_1_2_1.pst.36.xls,RMPM-Whole:I12,469,3,466,3
cooper_richey_000_1_1.pst.29.xls,Results:K40,2,0,1,0
don_baughman_000_1_1.pst.178.xls,Sheet1:C38,37,1,21,1
kevin_presto_000_1_1.pst.17.xls,CALC:S152,29,0,29,0
keith_holst_000_1_1.pst.68.xls,Data WEI:AB2706,3,0,2,0
tracy_geaccone_000_1_1.pst.151.xls,Trackers:D184,221,1,221,1
robin_rodrigue_000_1_1.pst.148.xls,Sheet12:Q355,3,0,2,0
harry_arora_000_1_1.pst.14.xls,Gas Curves:BV2,0,1,0,1
vkaminski_001_1_2_1.pst.130.xls,Expiration Dates:D30,6,0,2,0
don_baughman_000_1_1.pst.140.xls,Sheet1:C38,37,0,21,0
jonathan_mckay_000_1_1.pst.11.xls,TETCO_TRANSCO:L31,111,0,110,1
john_arnold_000_1_2.pst.327.xls,W Trades:D47,61,0,61,0
david_delainey_000_1_1_1.pst.3.xls,JrDebt:E12,382,3,381,4
