fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
phillip_m_love_000_1_1.pst.672.xls,m1:A5,442,523,4,523,4
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,239,667,7,667,7
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,853,9,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,111,37,59,21,59
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,76,349,3,349,3
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,169,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,105,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,73,543,5,543,6
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,263,1077,5,1077,5
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,702,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,108,251,3,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,237,667,6,667,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,91,61,0,61,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,86,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1724,4385,80,4385,83
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,223,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,68,8,0,8,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,488,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,918,9,0,4,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1373,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,USGT 500616:G12,78,349,2,349,2
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,1563,5959,69,5958,73
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,1143,31738,513,31738,540
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:C58,242,667,9,667,9
don_baughman_000_1_1.pst.191.xls,Sheet1:C20,109,37,1,21,1
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C20,174,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D2,119,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,114,693,9,1,9
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,120,43,0,41,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:L14,242,14,1,7,1
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,135,372,2,371,3
andy_zipper_000_1_1.pst.71.xls,DD-ENA:F500,67,8,1,8,1
louise_kitchen_000_1_1_1_1.pst.212.xls,West Power Origination:M21,79,54,0,54,0
dan_hyvl_000_1_1.pst.112.xls,Seller's's PP Calc:A12,86,481,4,481,4
andy_zipper_000_1_1.pst.54.xls,DD-ENA:F500,67,6,0,6,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,296,729,4,729,4
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:C2327,135,3,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Mar:I16,108,142,1,142,1
benjamin_rogers_000_1_1.pst.12.xls,Raw Data:A27129,242,3,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Power Curve:J5,1294,34481,594,34481,624
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,112,139,1,139,2
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3288,379,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,157,306,2,306,2
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,395,0,0,0,0
jeff_dasovich_000_1_1_1.pst.91.xls,Sept 22:K80,80,9,0,8,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,94,46,0,45,0
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,2445,2639,31,2626,32
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,219,6526,90,6523,95
don_baughman_000_1_1.pst.137.xls,Sheet1:C20,111,37,1,21,1
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:N47,366,366,4,11,4
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,160,875,9,865,9
jane_tholt_000_1_1.pst.123.xls,Summary:B185,91,2333,71,2333,73
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,91,52,0,1,0
