fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,328,69,0,69,1
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,63,366,5,364,5
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,106,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,72,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,102,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,564,32,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,178,461,5,461,6
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,696,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,105,37,0,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,128,235,5,233,5
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,187,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,119,46,1,1,1
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,62,366,5,364,6
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,238,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,617,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,83,251,3,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,181,461,6,461,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,70,61,0,61,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,66,4,0,4,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,1599,4385,337,4385,340
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,179,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,78,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,381,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,710,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1136,20,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,118,235,3,233,3
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,1362,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,888,899,248,899,248
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,206,461,5,461,5
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,105,37,1,21,1
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,108,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,68,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,76,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,93,43,0,41,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,163,14,0,5,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,293,372,4,371,4
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,79,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,70,36,0,35,0
dan_hyvl_000_1_1.pst.112.xls,Purchasers:A119,77,59,0,59,0
andy_zipper_000_1_1.pst.54.xls,DD-EGL:P29,89,3,0,3,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,249,729,12,729,12
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:F2288,116,1,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Oct :Q16,93,127,2,127,2
benjamin_rogers_000_1_1.pst.12.xls,Peak:B57,261,2,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Curves:A1,1289,899,239,899,239
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,87,139,1,139,2
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3505,320,7,1,5,1
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,118,306,2,306,2
tracy_geaccone_000_1_1.pst.307.xls,Annual Fuel Calc Alt:I30,321,69,1,69,1
jeff_dasovich_000_1_1_1.pst.91.xls,Template:N9,64,6,0,5,0
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,79,35,0,35,0
gstorey_000_1_1.pst.116.xls,InputOutputSheet:S14,2087,360,3,2,3
scott_neal_000_1_1.pst.156.xls,Correlations:BC3,167,0,0,0,0
don_baughman_000_1_1.pst.137.xls,Sheet1:C38,107,37,1,21,1
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:M39,349,363,5,8,5
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D344,124,236,3,236,3
jane_tholt_000_1_1.pst.123.xls,Study 3:A9,77,72,1,62,1
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C320,68,52,0,1,0
john_griffith_000_1_1.pst.196.xls,New Index Sale:N9,806,2888,43,2888,45
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AB14,117,0,0,0,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:D140,186,461,6,461,6
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:H19,478,19,0,16,0
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,139,2017,17,2017,18
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,70,61,1,61,1
stacey_white_000_1_1.pst.51.xls,NG Summary by Day:E307,255,7,0,7,0
chris_germany_000_1_2.pst.1047.xls,Sheet2:K401,337,63,1,32,1
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:R18,79,25,1,25,1
benjamin_rogers_001_1_1.pst.246.xls,ENA Debt:B11,129,126,1,108,1
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:E66,104,116,1,116,1
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:BL4,650,17832,390,17831,401
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,71,37,0,15,0
david_delainey_000_1_2.pst.135.xls,commercial income:K12,92,20,0,20,0
andy_zipper_000_1_1.pst.20.xls,Deal Detail:K727,83,3,1,1,1
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D184,141,248,4,248,4
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,1551,4385,339,4385,341
andy_zipper_000_1_1.pst.63.xls,DD-EGL:P29,77,3,0,3,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,71,61,0,61,0
benjamin_rogers_000_1_1.pst.204.xls,Wilton:X135,91,34,0,34,0
kevin_presto_000_1_1.pst.473.xls,Raw Data:I6702,321,3,0,1,0
benjamin_rogers_000_1_1.pst.140.xls,Curve Paste:BU217,977,0,0,0,0
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,1521,4385,341,4385,343
andy_zipper_000_1_1.pst.166.xls,Deal Detail:K23,69,3,1,1,1
vkaminski_000_1_1_1.pst.216.xls,sp500:D8,136,871,14,871,15
chris_germany_000_1_2.pst.1075.xls,Sheet2:K99,346,127,2,126,2
chris_germany_000_1_2.pst.1032.xls,11-99:AI11,60,6,0,6,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:L8,153,249,3,9,3
daren_farmer_000_1_1.pst.313.xls,thursday:N13,73,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:DU7,124,2,0,2,0
craig_dean_000_1_1.pst.28.xls,May3:C49,58,13,0,3,0
larry_may_000_1_1.pst.309.xls,DATA:B3,104,60,1,1,1
andy_zipper_000_1_1.pst.27.xls,Deal Detail:K375,131,3,0,1,0
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,574,14018,215,14017,224
drew_fossum_000_1_1.pst.224.xls,Jul:A9,84,199,3,199,3
chris_germany_000_1_2.pst.162.xls,Special Pricing:A327,92,8,0,8,0
vkaminski_000_1_1_1.pst.171.xls,TIN:B3505,289,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C38,109,37,0,21,0
andy_zipper_000_1_1.pst.138.xls,DD-EGL:P29,693,3,0,3,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,177,306,2,306,2
matthew_lenhart_000_1_1.pst.20.xls,Curves:A1,877,899,259,899,259
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,300,372,5,371,5
andy_zipper_000_1_1.pst.83.xls,DD-EGL:P29,383,3,0,3,1
tracy_geaccone_000_1_1.pst.428.xls,EREC-EREC4:E92,72,71,1,71,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:AJ62,143,1,0,1,0
benjamin_rogers_000_1_1.pst.104.xls,ZONE A OFFPEAK:C7,131,93,1,93,1
andy_zipper_000_1_1.pst.79.xls,DD-EGL:P29,84,3,0,3,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C38,110,37,0,21,0
phillip_allen_000_1_1.pst.302.xls,Sheet2:G3,469,27,0,1,0
jane_tholt_000_1_1.pst.186.xls,July 17 Supply Price:A3,57,36,0,1,0
don_baughman_000_1_1.pst.145.xls,Sheet1:C38,109,37,0,21,0
don_baughman_000_1_1.pst.102.xls,Sheet1:C38,120,37,1,21,1
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,139,2232,24,2232,25
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AB14,196,0,0,0,0
don_baughman_000_1_1.pst.188.xls,Sheet1:C38,109,37,0,21,0
andrew_lewis_000_1_1.pst.12.xls,Swap:A7,58,900,10,900,11
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,124,2016,18,2016,19
benjamin_rogers_000_1_1.pst.154.xls,Debt:B54,62,366,5,364,5
vkaminski_000_1_1_1.pst.289.xls,READDATA:AD6,78,0,0,0,0
keith_holst_000_1_1.pst.144.xls,FizIndexStart:C45,225,3,0,3,0
mary_fischer_000_1_1.pst.120.xls,SL1Trends:L32,96,20,1,20,1
louise_kitchen_001_1_1_1.pst.364.xls,Mkt Risk:J17,47,44,0,43,0
benjamin_rogers_001_1_1.pst.27.xls,Wilton:Y135,80,28,0,28,0
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,1706,16611,901,16610,909
john_griffith_000_1_1.pst.1000.xls,Spread Option:AO10,117,17,0,16,0
matthew_lenhart_000_1_1.pst.65.xls,DA-ties:J59,338,2,0,1,0
errol_mclaughlin_jr_000_1_1.pst.71.xls,CC 103816 - Detail Expenses:M48,90,7,0,7,0
kim_ward_000_1_2.pst.428.xls,July 17 Supply Price:A3,57,36,0,1,0
tracy_geaccone_000_1_1.pst.306.xls,Annual Fuel Calc Alt:L30,299,67,0,67,0
john_hodge_000_1_1.pst.198.xls,load Info:L910,249,8,1,4,1
chris_germany_000_1_1_1.pst.99.xls,Total Reqs:J11,91,251,3,251,3
vkaminski_001_1_2_1.pst.61.xls,3a. GBM :I7,650,4381,54,4381,56
tracy_geaccone_000_1_1.pst.197.xls,EREC-EREC4:E70,82,70,1,70,1
joe_parks_000_1_1.pst.315.xls,Monthly Value:D14,676,25,0,25,0
kevin_ruscitti_000_1_1.pst.155.xls,03_20_00AM:X531,166,1,0,1,0
don_baughman_000_1_1.pst.138.xls,Sheet1:C38,106,37,1,21,1
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,860,8649,169,8640,173
vladi_pimenov_000_1_1.pst.73.xls,Price Sheet:B3,98,69,0,16,1
andy_zipper_000_1_1.pst.62.xls,DD-EGL:P29,96,3,0,3,0
andy_zipper_000_1_1.pst.146.xls,DD-EGL:P29,793,3,0,3,0
benjamin_rogers_000_1_1.pst.169.xls,ENA_Debt:B54,464,366,4,364,4
matthew_lenhart_001_1_1.pst.103.xls,OP.Power Desk Daily Price:B7,104,61,0,61,0
david_delainey_000_1_2.pst.134.xls,balance sheet:I3,86,123,0,123,0
larry_may_000_1_1.pst.114.xls,curves:G2,151,53,0,1,0
vkaminski_000_1_1_1.pst.317.xls,volatility:H704,177,34,0,3,1
dutch_quigley_000_1_1.pst.210.xls,Opt:B10,188,294,2,1,2
don_baughman_000_1_1.pst.202.xls,8-1:C38,366,37,1,21,1
robin_rodrigue_000_1_1.pst.53.xls,PrudCalc:AD7,58,0,0,0,0
mary_fischer_000_1_1.pst.140.xls,Curtailment Periods - Hourly:I39,83,11,0,9,0
louise_kitchen_000_1_1_1_1.pst.246.xls,Cost Cancel Details:D108,251,461,7,461,7
louise_kitchen_000_1_1_1_1.pst.252.xls,Cost Cancel Details:D108,213,461,7,461,7
vkaminski_003_1_1_1.pst.73.xls,CurveCreator:A4,1209,157,2,1,2
joe_stepenovitch_000_1_1.pst.15.xls,DATA:S537,68,2,0,2,0
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,2041,8313,219,8303,225
vkaminski_000_1_1_1.pst.173.xls,LEAD:B3505,384,7,0,5,0
daren_farmer_000_1_1.pst.1131.xls,Oct :Q16,122,127,1,127,2
vkaminski_001_1_2_1.pst.100.xls,Forward Curves:F98,154,36,0,36,0
fletcher_sturm_000_1_1.pst.44.xls,Mar01:E2,277,30,0,1,0
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:D30,287,6,0,2,0
andy_zipper_000_1_1.pst.28.xls,DD-EGL:P29,960,3,0,3,0
chris_germany_000_1_2.pst.1046.xls,Sheet2:K55,428,63,1,32,1
don_baughman_000_1_1.pst.193.xls,Sheet1:C38,127,37,0,21,0
chris_germany_000_1_2.pst.163.xls,Special Pricing:A327,109,8,1,8,1
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,1631,8313,241,8303,246
louise_kitchen_000_1_1_1_1.pst.247.xls,Cost Cancel Details:D108,226,461,27,461,27
craig_dean_000_1_1.pst.35.xls,2CSC3ZONES 01SUM1 BASE CASE:H4780,313,2,0,1,0
chris_germany_000_1_1_1.pst.84.xls,Total Reqs:J11,136,251,6,251,6
darron_c_giron_000_1_1_1.pst.194.xls,PRD Location_Def:H3819,843,2,0,2,0
harry_arora_000_1_1.pst.12.xls,Gas Curves:BV2,390,0,0,0,0
john_arnold_000_1_2.pst.326.xls,model1:P19,393,815,10,815,11
harry_arora_000_1_1.pst.130.xls,WorkingData:Q5,4794,4610,14191,4610,14194
don_baughman_000_1_1.pst.150.xls,Sheet1:C38,131,37,0,21,0
matthew_lenhart_000_1_1.pst.1.xls,Power Curve:A1,673,824,15,824,16
matthew_lenhart_001_1_1.pst.145.xls,OP.Power Desk Daily Price:B7,82,61,0,61,0
kim_ward_000_1_2.pst.383.xls,July 17 Supply Price:A3,72,36,0,1,0
benjamin_rogers_000_1_1.pst.105.xls,STRIPS:C1,1788,31,0,1,0
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:DU7,131,2,0,2,0
andy_zipper_000_1_1.pst.78.xls,DD-EGL:P29,93,3,0,3,0
andy_zipper_000_1_1.pst.167.xls,Deal Detail:K23,74,3,0,1,0
don_baughman_000_1_1.pst.144.xls,Sheet1:C38,127,37,1,21,1
don_baughman_000_1_1.pst.101.xls,Sheet1:C38,115,37,1,21,1
larry_campbell_000_1_1.pst.502.xls,Sheet1:C38,96,37,0,21,0
don_baughman_000_1_1.pst.187.xls,Sheet1:C38,117,37,1,21,1
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,2040,29029,617,29029,639
andy_zipper_000_1_1.pst.84.xls,DD-EGL:P29,768,3,0,3,0
chris_germany_000_1_2.pst.208.xls,Jan 01 trial:AB14,450,0,0,0,0
paul_y'barbo_000_1_1.pst.127.xls,Duke 500621:H12,109,235,3,233,3
vkaminski_001_1_2_1.pst.159.xls,Escalation:L13,199,275,2,1,2
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,1700,4385,384,4385,386
matthew_lenhart_001_1_1.pst.173.xls,OP.Power Desk Daily Price:B7,75,61,0,61,1
john_arnold_000_1_2.pst.354.xls,Position:M4,121,8,0,7,0
robin_rodrigue_000_1_1.pst.199.xls,Months:F4,160,124,0,124,0
vkaminski_000_1_1_1.pst.23.xls,Aux:H5,233,22,0,1,0
john_lavorato_001_1_1_1.pst.94.xls,CP Trade Data:F2,2798,20846,260,20844,271
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:A4,81,1087,10,1085,10
thomas_martin_000_1_1_1.pst.194.xls,Physical Non EOL (2):B3,204,5,0,5,0
joe_parks_000_1_1.pst.296.xls,Data:J2,133,337,2,1,2
andy_zipper_000_1_1.pst.81.xls,DD-EGL:P29,91,3,0,3,0
tracy_geaccone_000_1_1.pst.198.xls,EREC-EREC4:E70,131,70,1,70,1
joe_parks_000_1_1.pst.121.xls,Permian Matrix:A113,273,178,1,45,2
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,404,527,5,527,5
cooper_richey_000_1_1.pst.30.xls,DATA:F38,106,3,0,1,0
andy_zipper_000_1_1.pst.73.xls,DD-EGL:P29,85,3,0,3,0
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,302,201,1,1,1
mike_grigsby_000_1_1_1.pst.108.xls,Curves:A1,997,899,247,899,248
benjamin_rogers_001_1_1.pst.34.xls,Wilton:Y135,81,28,0,28,0
larry_may_000_1_1.pst.311.xls,WEST GAMMA:B3,707,150,1,1,1
robin_rodrigue_000_1_1.pst.133.xls,Alberta Curve:D9,126,61,0,60,0
matthew_lenhart_001_1_1.pst.96.xls,OP.Power Desk Daily Price:B7,79,61,0,61,1
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B47,111,3561,50,3560,52
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:D30,276,6,0,2,0
vkaminski_000_1_1_1.pst.176.xls,ALUMINUM_S:B3505,331,7,1,5,1
jane_tholt_000_1_1.pst.18.xls,Assign To West Contracts:G47,74,116,1,111,2
don_baughman_000_1_1.pst.147.xls,Sheet1:C38,125,37,1,21,1
darron_c_giron_000_1_1_1.pst.165.xls,Run Query:D25,169,28,1,1,1
andy_zipper_000_1_1.pst.65.xls,DD-EGL:P10,87,4,0,4,0
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,114,1343,20,1322,21
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,1718,4385,373,4385,375
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:DU7,140,2,0,2,0
darron_c_giron_002_1_1_1.pst.149.xls,Carley-Custodial:F6,261,870,12,869,12
benjamin_rogers_000_1_1.pst.57.xls,Gas Curves:BV2,424,0,0,0,0
andy_zipper_000_1_1.pst.88.xls,DD-EGL:P29,806,3,0,3,0
vkaminski_001_1_2_1.pst.36.xls,RMPM-Whole:I12,548,2711,51,2710,53
cooper_richey_000_1_1.pst.29.xls,Results:K40,248,3,0,1,0
don_baughman_000_1_1.pst.178.xls,Sheet1:C38,124,37,0,21,0
kevin_presto_000_1_1.pst.17.xls,CALC:S152,89,29,0,29,0
keith_holst_000_1_1.pst.68.xls,Data WEI:AB2706,946,3,0,2,0
