fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,92,35,0,35,0
gstorey_000_1_1.pst.116.xls,InputOutputSheet:S14,2407,360,4,2,4
scott_neal_000_1_1.pst.156.xls,Correlations:BC3,177,0,0,0,0
don_baughman_000_1_1.pst.137.xls,Sheet1:C38,107,37,1,21,1
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:M39,388,363,6,8,6
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D344,154,236,4,236,4
jane_tholt_000_1_1.pst.123.xls,Study 3:A9,81,72,1,62,1
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C320,80,52,0,1,0
john_griffith_000_1_1.pst.196.xls,New Index Sale:N9,673,2888,45,2888,46
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AB14,134,0,0,0,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:D140,222,461,7,461,8
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:H19,538,19,0,16,0
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,129,2017,23,2017,24
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,84,61,0,61,0
stacey_white_000_1_1.pst.51.xls,NG Summary by Day:E307,116,7,0,7,0
chris_germany_000_1_2.pst.1047.xls,Sheet2:K401,411,63,1,32,1
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:R18,74,25,1,25,1
benjamin_rogers_001_1_1.pst.246.xls,ENA Debt:B11,135,126,1,108,1
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:E66,140,116,2,116,2
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:BL4,624,17832,400,17831,423
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,88,37,0,15,0
david_delainey_000_1_2.pst.135.xls,commercial income:K12,117,20,0,20,0
andy_zipper_000_1_1.pst.20.xls,Deal Detail:K727,70,3,0,1,1
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D184,173,248,4,248,5
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,1600,4385,571,4385,574
andy_zipper_000_1_1.pst.63.xls,DD-EGL:P29,68,3,0,3,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,90,61,0,61,0
benjamin_rogers_000_1_1.pst.204.xls,Wilton:X135,88,34,0,34,0
kevin_presto_000_1_1.pst.473.xls,Raw Data:I6702,474,3,0,1,0
benjamin_rogers_000_1_1.pst.140.xls,Curve Paste:BU217,831,0,0,0,0
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,1518,4385,390,4385,393
andy_zipper_000_1_1.pst.166.xls,Deal Detail:K23,53,3,0,1,1
vkaminski_000_1_1_1.pst.216.xls,sp500:D8,120,871,19,871,20
chris_germany_000_1_2.pst.1075.xls,Sheet2:K99,419,127,1,126,2
chris_germany_000_1_2.pst.1032.xls,11-99:AI11,69,6,0,6,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:L8,110,249,3,9,3
