fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,3,0,3,0
chris_germany_000_1_2.pst.1047.xls,Sheet2:K602,127,1,126,1
errol_mclaughlin_jr_000_1_1.pst.134.xls,LVPP MTM:B9,60,0,60,0
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,109,1,109,1
rick_buy_000_1_2_1.pst.28.xls,Replacement Costs:D58,234,2,234,2
vladi_pimenov_000_1_1.pst.2.xls,Raw Data:CU4,8,0,4,0
lynn_blair_000_1_1.pst.181.xls,Aug 13:E2,18,0,15,0
david_delainey_000_1_2.pst.135.xls,balance sheet:I4,42,0,41,0
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,1,0,1,0
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,958,8,947,9
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,28,0,27,0
andy_zipper_000_1_1.pst.63.xls,DD-ENA:F500,4,0,4,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,3,0,3,0
benjamin_rogers_000_1_1.pst.204.xls,Wheatland:Z66,45,0,45,0
kevin_presto_000_1_1.pst.473.xls,Q3 2001:C250,1,0,1,0
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,3317,37,3313,39
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,28,0,27,0
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,1,0,1,0
vkaminski_000_1_1_1.pst.216.xls,w5000:B361,63,1,54,1
chris_germany_000_1_2.pst.1075.xls,Sheet2:K231,127,1,126,1
chris_germany_000_1_2.pst.1032.xls,11-99:U11,2,0,2,0
vkaminski_000_1_1_1.pst.24.xls,Analysis:T5,6,0,5,0
daren_farmer_000_1_1.pst.313.xls,thursday:N556,3,0,3,0
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,225,1,216,1
craig_dean_000_1_1.pst.28.xls,May3:C2,2,0,2,0
larry_may_000_1_1.pst.309.xls,DATA:B3,1,0,1,0
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,1,1,1,1
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,45,0,44,0
drew_fossum_000_1_1.pst.224.xls,Jul:A9,6,0,6,0
chris_germany_000_1_2.pst.162.xls,gatherco:J3,104,1,104,1
vkaminski_000_1_1_1.pst.171.xls,TIN:B3288,7,0,5,0
juan_hernandez_000_1_1.pst.165.xls,Sheet1:C20,37,1,21,1
andy_zipper_000_1_1.pst.138.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
mike_grigsby_000_1_1_1.pst.250.xls,Months:F4,4,0,4,0
matthew_lenhart_000_1_1.pst.20.xls,Power Curve:J5,102,1,58,1
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,6,0,5,0
andy_zipper_000_1_1.pst.83.xls,TRANSACTIONSUMMARYREPORT -1:Q4713,4,0,4,0
tracy_geaccone_000_1_1.pst.428.xls,Americas-ESGVC4:E84,108,1,108,1
jay_reitmeyer_000_1_1.pst.197.xls,Sheet1:A25,88,0,1,0
benjamin_rogers_000_1_1.pst.104.xls,ZONE G OFFPEAK:C7,17,1,16,1
andy_zipper_000_1_1.pst.79.xls,DD-ENA:F500,4,0,4,0
don_baughman_000_1_1.pst.192.xls,Sheet1:C20,37,0,21,0
phillip_allen_000_1_1.pst.302.xls,Raw Data:CB5,0,0,0,0
jane_tholt_000_1_1.pst.186.xls,Sales:C9,29,0,26,0
don_baughman_000_1_1.pst.145.xls,Sheet1:C20,37,0,21,0
don_baughman_000_1_1.pst.102.xls,Sheet1:C20,37,0,21,0
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,6,1,6,1
daren_farmer_000_1_1.pst.384.xls,Jan 01 trial:AW14,13,0,13,0
don_baughman_000_1_1.pst.188.xls,Sheet1:C20,37,1,21,1
andrew_lewis_000_1_1.pst.12.xls,Swap:Z3,9,0,8,0
paul_y'barbo_000_1_1.pst.26.xls,76%:D2,1812,9,1812,10
benjamin_rogers_000_1_1.pst.154.xls,Depreciation:Z46,345,4,345,4
