fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
GCS-MT-12.xlsx,6725,10092,12325,1140,1135,305
Pokemon Info.xlsx,5718,10725,6832,2238,2233,70
Innovid_cookie_level_EDA_20201116.xlsx,29726,56671,55307,19997,24464,725
Customer Assessment CalculatorTemplate2.xlsx,4361,10906,10901,6550,8723,104
Regression.xlsx,10070,15133,19100,11108,16069,186
MLIAM10det_model.xlsx,35306,43249,101978,34404,83564,1745
MLIAM10unc_model.xlsx,86413,99361,225914,84415,181591,4201
testSequenceFile.xlsx,46590,61447,109339,17997,64539,3110
Valuation of Conoco Philips-2016.xlsx,6839,10438,14735,10358,14545,103
gaslines_model_public.xlsx,99012,100801,351888,98212,350226,3182
2060.xlsx,25139,49447,71715,36661,42917,2798
2191.xlsx,25139,49447,71715,36661,42917,2518
3323.xlsx,25139,49447,71715,36661,42917,2995
4564.xlsx,25139,49447,71715,36661,42917,2681
4583.xlsx,25139,49447,71715,36661,42917,2833
6502.xlsx,25139,49447,71715,36661,42917,2675
7238.xlsx,25139,49447,71715,36661,42917,3031
7980.xlsx,25139,49447,71715,36661,42917,2980
9263.xlsx,25139,49447,71715,36661,42917,2794
Andrej Sisila - Volby.xlsx,48038,72077,70038,2104,2097,1722
Real-Statistics-Examples-Distributions.xlsx,13506,16725,25865,15130,24315,169
Model Input Document Satisloh V1.2 3BX- CPQ.xlsx,3458,6952,7474,4000,3992,187
Model Input Document Satisloh V1.2 4TX- CPQ.xlsx,3465,6966,7481,4000,3992,187
Model Input Document Satisloh V2.1 Dimension- CPQ.xlsx,3465,6966,7481,4000,3992,187
Model Input Document Satisloh V4.6 VFT-Orbit - CPQ.xlsx,3058,6153,6998,3923,3915,179
Schneider Equivalent Point Map.xlsx,15075,16298,15108,15231,14029,171
metro.xlsx,31522,64247,82453,27308,41971,3304
NL.xlsx,99378,226560,296723,71071,128647,8591
FullRes Capture conversion.xlsx,110458,169439,245240,144743,211047,7735
Финплан_new.xlsx,9453,14280,14700,14280,14700,139
el staff coll.xlsx,40452,126293,87940,31831,19794,2656
Лаба по химии.xlsx,10659,11503,10659,4939,4919,451
תקציב חיפה 2015 הוצאות מתוקן.xlsx,6685,8035,9361,2690,2681,368
CFB_2011_2018.xlsx,87644,171193,170207,5919,5809,4433
5烧结精益生产管控系统.xlsx,97395,137542,206756,68354,80869,7091
Dane w czasie.xlsx,7446,8194,11907,5965,9675,301
001-functions_financial_amortization_schedules.xlsx,7495,10353,18713,10205,16137,322
A00282.PP0053.TP05.PA048.D20150504.xlsx,44116,86919,73999,2309,3491,1212
Hypotheekrente.xlsx,17012,30034,33588,12417,12714,664
powerprofile.xlsx,19473,19900,45169,19860,45149,335
111 - 112 - 15.xlsx,6017,15055,14408,9100,9065,162
PUTStrategy-RealOption-fixed.xlsx,54090,84855,114245,42004,48841,2822
Austin2017 for Solution.xlsx,7530,9518,10818,8206,8182,328
1. Buku Kas 2018.xlsx,4856,12881,12853,12200,12113,92
1. Buku Kas 2018 .xlsx,6739,18349,18344,17648,17545,127
Calculation.xlsx,23246,44053,80335,42795,78445,749
2014.12 Thermal Decay .xlsx,24011,30526,78573,24140,68462,1144
september-30-2021.xlsx,58482,104622,76445,24180,20965,1208
IDX Stock Symbol Category Market Cap.xlsx,16688,24472,31264,6124,17237,431
backpropagation.xlsx,2692,3101,9376,1624,2446,289
september-2-2021.xlsx,54269,97690,71476,22722,19704,1023
MacIC-Portfolio-Nov-2018-updated.xlsx,18577,38018,31375,4853,6308,511
MacIC-Portfolio-V1-Jan-28-2017.xlsx,18594,38091,31435,4908,6352,626
MacIC-Portfolio_V5.xlsx,31407,69354,53446,5749,7197,966
P S Priti Sudha_Task 3.xlsx,97158,148269,115169,55451,68760,2258
SYNTHESE UKRAINE 2016 V30 11 2017.xlsx,41455,68393,80633,39040,47657,1657
CASE2_Kim_Tiono.xlsx,5104,6156,9163,2649,4656,406
hybrids_05.xlsx,18182,33647,33851,32397,32721,291
Gabarit_StatistiquesDescriptives.xlsx,16780,18375,42846,18376,42845,340
StatistiquesDescriptives-Exo_2_1.xlsx,16780,18375,42846,18376,42845,428
【CSOT OCL_FY21 75AR (SSV) 】 SMLD Quality Data Workbook.xlsx,34134,60211,59962,47203,53391,587
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,34012,59969,59718,46961,53147,591
Diao2004_v2.xlsx,23723,25761,25532,23082,23850,209
Diao2004_v1.xlsx,17203,20749,19839,19008,18615,260
april-22-2021.xlsx,31335,58714,43668,14861,13014,539
UST10y_update2.xlsx,9028,14030,19293,13141,14390,296
Scen_SE_ELC_DH-Pipes.xlsx,8368,23231,16635,1866,1839,197
Vinci.xlsx,46969,47251,82465,23716,35276,6118
april-1-2021.xlsx,22465,42830,31052,11934,10462,396
RaveJump2-R94.xlsx,5895,13018,12376,11107,10891,99
finance.xlsx,43123,67226,84880,41939,45914,3748
big+troubles.xlsx,6374,5629,11771,5328,10862,201
Plot2.xlsx,19443,29406,23001,6019,7165,341
new_inventory.xlsx,102809,165259,202798,163569,200398,1914
2019 Publications_New Updates_2020 04 25.xlsx,17782,54766,48282,7524,7296,1031
covid-19-raw-data-2-12-2021.xlsx,13944,26754,19859,9597,8421,191
basescheme.xlsx,32418,38596,41187,28693,33155,458
covid-19-raw-data-2-6-2021.xlsx,12666,24229,18115,9304,8165,161
NKSC - 16.xlsx,14412,29977,23958,5872,5888,307
covid-19-dashboard_1-31-2021.xlsx,11383,21694,16361,9001,7899,144
SALDO DEPOSITO2018.xlsx,5760,14384,17232,8688,8664,305
errol_mclaughlin_jr__10120__Chase-Stoneville Model 12_29_00.xlsx,49167,66600,114310,35707,49979,2900
data_stinkBug_2018-2019.xlsx,321702,324472,321702,324472,321702,2652
on order report example.xlsx,54346,159963,176118,4898,3524,5078
الماتلين.xlsx,11712,21149,19099,10661,10290,309
باردو.xlsx,15729,26041,24093,10283,10460,438
تستور.xlsx,14543,26311,24148,12535,12808,368
تلابت.xlsx,13948,24304,22717,12609,12826,358
سليمان.xlsx,18425,29929,28038,12548,12810,502
صفاقس.xlsx,18286,29662,27646,12244,12406,541
غمراسن.xlsx,6472,14079,11338,3174,3068,207
قبلاط.xlsx,14565,26331,24179,12523,12861,371
قلعة-سنان.xlsx,13936,23342,21505,8636,8766,401
قليبية.xlsx,15108,26605,24590,12177,12394,447
منزل النور.xlsx,15722,26077,24377,12521,12581,428
منزل حرّ.xlsx,15757,27408,25349,12472,12689,415
وذرف.xlsx,16896,28476,26510,12914,13235,450
DINAS PENDIDIKAN GABUNG BOS OK BANGET.xlsx,445188,595053,1755770,52747,62072,70882
homework7_ducharme_h.xlsx,24912,25260,63727,16682,38833,1505
Logistica.xlsx,102995,228964,165953,16071,16008,7788
IF2总数值表.xlsx,33087,59392,69103,33364,43848,1084
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,45641,103914,87007,108626,82291,1104
Real-Statistics-Time-Series-Examples.xlsx,39079,42389,63151,35917,53014,576
Courbes.xlsx,4813,4819,10948,2853,8967,168
FY21 Attendance Tracker_Final.xlsx,29398,22166,16632,2121,1674,315
GaussianClusterTest.xlsx,23369,25696,40495,21582,34766,583
Spell_Config.xlsx,22424,24104,36185,19114,18909,622
qpcr_template_ottawa_wide.xlsx,18635,22586,28046,8079,12571,439
REMISIONES-- J U L I O      2013.xlsx,41179,119540,115593,107374,107430,1024
2020_IRGEI_03ANT_lite.xlsx,49579,130231,143499,129663,142979,1172
REMISIONES-- J U N I O      2013.xlsx,40219,116778,112964,104942,105022,1076
HOS Figures - 2021-05-09.xlsx,4480,5494,11452,5494,11452,91
REMISIONES- ENERO    2013.xlsx,37754,109586,105542,97918,97714,929
T 套装升星表.xlsx,12213,16742,29729,13327,19161,581
dutch_quigley__9367__gbs0711pos.xlsx,22855,44458,44588,11250,19521,605
modelrebal.xlsx,8265,10474,16204,8039,12616,172
COVID-19 w Polsce.xlsx,38726,54487,77958,50057,71462,1066
relacao_geral_-_vodanet_-_04-04-2014.xlsx,13239,32536,21804,1589,1382,255
relacao_geral_-_vodanet_-_07-04-2014.xlsx,13239,32536,21804,1589,1382,276
relacao_geral_-_vodanet_-_08-04-2014.xlsx,13239,32536,21804,1589,1382,275
relacao_geral_-_vodanet_-_11-06-2014.xlsx,13315,32729,21940,1606,1392,215
relacao_geral_-_vodanet_-_12-12-2014.xlsx,13670,33653,22559,1631,1403,229
relacao_geral_-_vodanet_-_14-03-2014.xlsx,13181,32418,21742,1585,1379,307
relacao_geral_-_vodanet_-_17-03-2014.xlsx,13181,32418,21742,1585,1379,278
relacao_geral_-_vodanet_-_21-08-2014.xlsx,13482,33025,22107,1599,1382,225
relacao_geral_-_vodanet_-_22-08-2014.xlsx,13482,33025,22107,1599,1382,224
relacao_geral_-_vodanet_-_25-08-2014.xlsx,13482,33025,22107,1599,1382,224
relacao_geral_-_vodanet_-_29-08-2014.xlsx,13624,33549,22493,1611,1390,297
relacao_geral_-_vodanet_-_30-01-2014.xlsx,13151,32342,21692,1558,1363,276
应收账款.21年-4.xlsx,34873,71498,70452,27556,14083,1244
REMISIONES--DICIEMBRE    --- 2 0 1 4.xlsx,50008,145813,136510,116180,116705,1207
REMISIONES--MARZO    --- 2 0 1 5.xlsx,45292,131634,127054,116155,116683,1138
REMISIONES-- NOVIEMBRE        --- 2 0 1 6.xlsx,49171,132598,131258,116474,116906,1278
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,12156,35512,33018,27721,27823,358
Weekly-covid-admissions-and-beds-publication-210304.xlsx,16684,20493,42654,20493,42654,325
dart_message_generator.xlsx,68604,71231,214480,64925,157754,4422
LAUNCH_MESpcport_Revenue_MC.xlsx,100858,141081,321391,80689,241173,71219
SurEau_para-refqqq.xlsx,7434,8307,16862,5925,10811,336
20200903_WeeklyBankniftyExpiry_Kirubakaran.xlsx,6868,10127,11915,4759,3707,440
Covid 20210215.xlsx,10730,13345,18061,9298,12484,623
Thomeer2019.xlsx,7130,8316,14999,5563,9423,345
relacao_geral_-_vodanet_-_06-06-2013.xlsx,12107,30411,20442,1103,958,200
relacao_geral_-_vodanet_-_08-05-2013.xlsx,11302,28296,18985,1078,944,186
relacao_geral_-_vodanet_-_10-05-2013.xlsx,11479,28777,19314,1086,948,188
relacao_geral_-_vodanet_-_17-04-2013.xlsx,10028,24925,16676,1072,940,162
relacao_geral_-_vodanet_-_21-05-2013.xlsx,12097,30387,20428,1090,950,202
relacao_geral_-_vodanet_-_22-05-2013.xlsx,12097,30387,20428,1090,950,287
relacao_geral_-_vodanet_-_29-05-2013.xlsx,12098,30388,20429,1091,951,201
relacao_geral_-_vodanet_-_31-05-2013.xlsx,12098,30388,20429,1091,951,201
Fact2Sheet_Corona_20200706.xlsx,36863,56752,72216,30420,48680,1307
Fact2Sheet_Corona_20200624.xlsx,36380,56159,71239,29806,47691,1380
Fact2Sheet_Corona_20200626.xlsx,36428,56215,71375,29865,47827,1251
Fact2Sheet_Corona_20200630.xlsx,36500,56299,71579,29967,48043,1416
Fact2Sheet_Corona_20200622.xlsx,34981,53545,68248,27816,45540,1207
Fact2Sheet_Corona_20200605.xlsx,16455,23158,32424,15329,25126,561
Fact2Sheet_Corona_20200607.xlsx,16690,23508,32752,15422,25247,609
Fact2Sheet_Corona_20200602.xlsx,16372,23061,32276,15101,24923,504
perfil_teca_v_sur_s.xlsx,6480,12960,12924,8358,8317,100
Copy of MATERAI new (Autosaved) (Autosaved) (Autosaved) (Autosaved).xlsx,13737,25497,24064,23935,22273,283
GHG Fluxes YYYYMMDD.xlsx,8341,13105,17449,7414,10696,310
191126P2_ROIAnnotationSummary_200218.xlsx,17893,31751,31164,4275,4177,786
NHUNG - NCC - CÔNG NỢ PHẢI TRẢ CN2.xlsx,7185,15531,14834,3028,2823,370
NHUNG - NCC - CÔNG NỢ PHẢI TRẢ CN3.xlsx,7186,15535,14840,3022,2819,331
chris_dorland__1627__FUZZY_SWAP.xlsx,4891,6757,12676,2494,3694,309
TP_RR_Équipe_2.xlsx,7939,13499,33644,12041,31543,294
Real-Statistics-Math-Topics-Examples.xlsx,18278,23164,48052,18307,39816,571
Report_Template_INDEX.xlsx,13517,15071,81137,12831,80017,596
Fact2Sheet_Corona_20200520.xlsx,13513,19135,26221,12753,20238,408
Fact2Sheet_Corona_20200523.xlsx,13549,19183,26317,12801,20334,348
Fact2Sheet_Corona_20200524.xlsx,13561,19199,26349,12817,20366,457
Fact2Sheet_Corona_20200529.xlsx,13823,19666,26207,13016,20090,414
Fact2Sheet_Corona_20200513.xlsx,10667,15982,21226,10866,16504,345
3C LT AutomationModel.xlsx,11600,33272,22424,803,778,151
loc.kor.produce.xlsx,9214,14952,10700,7630,5920,164
mike_grigsby__27862__HS_WESTall1115.xlsx,9838,37159,28095,1013,856,294
mike_grigsby__27934__HS_WESTall1025.xlsx,9620,27730,18740,558,599,127
Reporte Resultados.xlsx,118990,259895,237912,8248,9093,2942
Monsoon2017_ Storage and Discharge.xlsx,20186,35940,33854,15597,14996,553
Decision_Making_with_Loss_Function_Demo.xlsx,10135,10358,47856,10357,47855,442
Daily Update Data Agregat Covid-19 Jakarta.xlsx,10429,19359,22326,1685,1646,403
物理作业11.xlsx,58798,59190,116518,59190,116518,1056
Covid SJC.xlsx,14136,21245,25405,18365,19438,467
Xylem Conductivity Excel Marco 8_02_17.xlsx,9000,12792,13833,12765,13815,99
DINAS KESEHATAN 2019.xlsx,299747,405529,1166859,54215,58229,39362
PData.xlsx,11247,15000,21448,10082,18212,255
ODA OOP Sim v8.0.BR.xlsx,21003,45089,81150,26378,61967,991
Weekly-covid-admissions-and-beds-publication-210819.xlsx,17850,21955,45640,21955,45640,338
PilotFlexAccounting-CombinedPowellMead-v4.2.1.xlsx,8823,13653,24409,9222,22059,183
benjamin_rogers__1169__Base.xlsx,8255,11712,14922,11502,14560,115
RowBattleSimulater.xlsx,20805,36529,43015,36529,43015,369
Tio Cash Master 1450 Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,21957,28234,35655,7649,12664,1181
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,20239,22587,32074,7712,12697,1037
benjamin_rogers__1048__Consolidated 6 Peaker-051800-PE-1.xlsx,6731,10235,11119,9883,10897,85
