fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
SP500_results.xlsx,227088,302715,669890,224,216,11878,4,25536,94,332350,0,0,2,10070,66,301884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
GAINS.xlsx,92375,98996,379658,354,568,7847,29,20730,223,207407,0,0,0,0,189,120052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127
Infiltration_Mohammed.xlsx,92375,98996,379658,354,568,7782,29,20730,223,207407,0,0,0,0,189,120052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127
midterm.xlsx,11457,11458,11457,2,1,55,1,11457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zadanie5.xlsx,25572,29229,36531,19,14,385,1,3652,9,32874,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
The Sorted Dataset Based on Separation and Location.xlsx,23631,23909,23791,258,140,293,97,23468,20,160,0,0,0,0,20,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
测试-30000.xlsx,539997,540051,539997,63,57,7697,3,29997,54,510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12-Churn-Modelling - Forecast.xlsx,50003,70004,100003,13,13,1183,1,9999,5,50000,0,0,0,0,5,40002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Chum Modeling Forecast CAP CURVE.xlsx,50003,70005,100003,13,14,1236,1,9999,5,50000,0,0,0,0,4,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
cp_v_ac.xlsx,49998,70000,59998,9,6,475,2,19998,4,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delay-CI-Rawdata(1).xlsx,16378,16380,16378,4,2,93,2,16378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delay-CI-Rawdata.xlsx,16378,16380,16378,4,2,92,2,16378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,77051,78495,154122,131,138,1705,8,12629,118,141481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
Schema_generator.xlsx,91062,183847,565704,2593,2297,16107,16,9679,377,237732,0,0,0,0,505,298882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1399
Xkvbawue2.xlsx,17661,26494,35321,6,4,280,1,8830,3,26491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
