fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:E12,249,5,0,3,0
steam_trend_data.xlsx,steam:Q25356,1512,2,0,1,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :O2,818,220,3,220,3
Datos.xlsx,Movimientos:F596,161,2,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:D27245,1419,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V9,816,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:E2510,513,2,0,2,0
30-4.xlsx,Load-Displacement:D25214,463,11,0,4,0
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,StatusByCategory:A3,311,2,0,2,0
KickstarterStats.xlsx,Outcomes Based on Goal:D2,394,4,1,1,1
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,BKE:F42,207,10,0,10,0
Surf_overlay_diag_E.xlsx,ZIKV:E1046472,503,1,0,1,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:M22325,445,2,0,2,0
crime_v3.xlsx,crime_v3:C81,3073,1,0,1,0
StarterBook_jjree.xlsx,BONUS1:E7,408,3,0,1,0
PV Angebots Tool.xlsx,PV-Angebot:A2,1365,5,0,5,0
VIL-2015-12.xlsx,DEC 8:Q34,115,9,0,9,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S12749,7455,8,0,8,0
Jan_2011.xlsx,Formatted Data:D2700,463,62,1,45,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J1876,153,2,0,2,0
Solution_36.xlsx,Лист2:G50849,8499,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y685,177,5,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,3929,6,0,6,0
AP-Spring2018 (For Students).xlsx,Final Project:J1,1738,3,0,3,0
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:Z82,496,25,0,25,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:G345,381,6,0,6,0
resultsTesting10multi.xlsx,resultsTesting2504:H855,88,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CBJ5,235,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A3,532,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Report:C6,109,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:B2129,1436,11,0,11,0
CL4.xlsx,Sheet30:B35,325,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:D11,414,5,0,5,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:K86,317,3,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1735,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,246,1,0,1,0
