fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2834,2,1,1,1
CPIvs行业.xlsx,资产配置结论:E616,8529,19,0,14,0
Coding Task.xlsx,Coding:M14882,700,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:C10,655,2,0,1,0
greige provision.xlsx,Final:Q4,763,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:E370,328,11,0,10,0
main.xlsx,1m:B1675,1793,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:D36,9654,2,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1610 fam29 0.034482 old:F3,9970,2644,35,2643,37
MasterTestData.xlsx,Algo Format:R76,319,6,0,5,0
四象限行业选择.xlsx,日度数据:B4,630,19,0,4,0
工作簿1-20181122140451052.xlsx,不良明细:CEA5,265,1,1,1,1
Scen_SE_IND_DemandProj.xlsx,Projection New:AK154,324,196,1,194,1
HS_videos_Smit_Cross_augmented_v06.xlsx,HS data:L105,1330,142,5,27,5
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,821,6,0,1,0
DPS Calculator - Ninja.xlsx,Melee:B25,481,38,1,38,1
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,27004,190,2,1,2
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:C4,340,103,1,103,1
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,1604,16,0,16,0
valores_produtos.xlsx,dados:D3265,169,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,253,15,0,15,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,2428,1,0,1,0
工作簿1-20181122154759510.xlsx,不良明细:CEA5,261,1,0,1,0
Raw.xlsx,calcs:X99,198,19,0,1,0
P_Gh_T_S.xlsx,Sheet1:C38,115,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,2240,4,0,3,0
all cases and contacts 2021-07-01.xlsx,summary:D8925,1785,26,1,19,1
data_problem.xlsx,dwelling parameters:B2,1518,2,0,2,0
EST_TRANS.xlsx,DATOS:B9772,244,1,0,1,0
MM2-0530H.xlsx,2Rx2L:D153,244,3,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A3272,798,1,0,1,0
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,4455,40,0,39,0
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,NewDistributions:AE39,97,3,0,2,0
healthcare-dataset-stroke-data by akhilesh mishra.xlsx,healthcare-dataset-stroke-data:K665,73,1,0,1,0
物理作业11.xlsx,Sheet1:HN152,2479,1,0,1,0
NHL 2007-08.xlsx,Players:BY1188,5786,4,0,2,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,369,11,1,7,1
KBandFilter.xlsx,20GHZ:I1172,156,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H43,868,7,0,7,0
brti_excel_analysis.xlsx,brti_excel:B63,90,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:C12979,1434,2,0,2,0
ecosystems_calculations_20211130.xlsx,0107:F79,350,15,1,4,1
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,808,17,0,6,0
工作簿1-20181122163651735.xlsx,不良明细:CEA5,343,1,0,1,0
freezeExample.xlsx,Sheet:C21947,395,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:J5725,521,1,0,1,0
Measurements_Temperature_DutyCycle.xlsx,Feuil1:D1,69,3,0,2,0
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:D13,818,20,1,5,1
peerrank copy.xlsx,Sheet1:A38,5073,13,0,11,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Pivot Tables:M8,76,1,0,1,0
lenderToProyek.xlsx,Sheet2:I32256,8247,2,0,1,0
TestTable.xlsx,Таблица по выездам:AG330,441,11,0,3,0
Quarterly-Engage-UA-Revenue.xlsx,FSM:I1495,3827,6,0,5,0
20204-0.xlsx,Calcu_ADJ:L3,149,59,1,52,1
dist.xlsx,triangular:G2,78,2,0,2,0
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:F1298,721,1,0,1,0
Covid SJC.xlsx,Planilha1:B2,537,10,0,10,0
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CEA5,269,1,0,1,0
تستور.xlsx,المشاريع:A3,571,1,0,1,0
RE6685.xlsx,RE6685:C4071,468,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AA8433,2602,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:D26632,1801,1,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,Virgin Megastore QATAR (2019):J11,565,21,0,21,0
vicon_udp_teensy.xlsx,less_didgits_200Hz_xbee:B1419,2621,3,0,1,0
2019-07-18-0854_angelica_archangelica.xlsx,Measurements:C11,844,17,1,6,1
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,235,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CEA5,383,1,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:I10356,62,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:BAL33,652,0,0,0,0
abundance data.xlsx,Protein groups:J7604,128,1,0,1,0
AllDataSpacing.xlsx,Raw Data:S9270,733,1,0,1,0
FirstLink - Copy 2.xlsx,lognorm via norm:B4,871,7,0,4,0
Enhanced_0-level_11-4-2016.xlsx,Sheet1:E10,265,8,0,6,0
5_4_합성곱신경망.xlsx,학습:L2,846,95,1,95,1
all-geocodes-v2018 (1).xlsx,v2018geocodes:G30878,713,2,0,1,0
EDA.xlsx,training:B23,91,8,0,7,0
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,488,5,0,2,0
控制图.xlsx,输入:A11,267,1,0,1,0
reference10_0.xlsx,Sheet0:D1391,160,1,1,1,1
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D41,4049,6,0,4,1
Texas Local Governments.xlsx,GSA SAM Data:M3684,46,1,0,1,0
updatedProduceSales.xlsx,Sheet:C21947,362,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B6,250,5,0,4,0
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C116,3606,312,4,312,4
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,204,1,0,1,0
【第8回当日配布料】問題演習_第2回_確率.xlsx,【解答】（演習問題２）NYの気温データ :B14,641,1,0,1,0
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,298,6,0,6,0
basecase.xlsx,Propor:N4,1650,5,0,4,0
Analysis_Final.xlsx,Bloomberg data:IC1462,2305,6,0,5,0
sampleDistanceCalculations.xlsx,_fit235754964:D2105,2349,3,0,2,0
uniworld_dipimp_test.xlsx,American Affiliates:R7647,1537,1,1,1,1
data_banknote_authentication.xlsx,Data:A38,403,8,0,6,0
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB44,1449,9,0,9,0
StarterBookH Homework .xlsx,Bonus Backers Count:F42,384,1,0,1,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:N13,287,17,0,17,0
KPMG_file.xlsx,NewCustomerList:J259,1020,3,0,1,0
Weather_Machakos-5PFA.xlsx,MK135PFA:K4613,2155,1,0,1,0
Supplemental_File_2.xlsx,find DE Mets in iAF1260:B43,4677,214,2,213,2
Weekly-covid-admissions-and-beds-publication-201105.xlsx,MV beds COVID:B57,486,190,1,190,1
Empoyee Master.xlsx,Corrections July 2019:G11,730,1,0,1,0
Input data.xlsx,Sheet2:N2180,838,7,0,6,0
工作簿1-20181122164802462.xlsx,不良明细:CEA5,369,1,0,1,0
big+troubles.xlsx,Action List:AA15,247,13,0,5,0
MER_DataElements_Public.xlsx,des:Q826,2180,3,0,2,0
covidImpact.xlsx,Sheet2:D29246,3100,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B47,835,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:L157,297,1,0,1,0
2014.12 Thermal Decay .xlsx,C(T):B13,1044,5,0,5,0
LEITE_COMPOSIÇÃO.xlsx,Plan1:C273,710,8,1,3,1
Football Team Dataset MGSC661.xlsx,22:H12,196,1,0,1,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:E26008,2695,3,0,2,0
NH2012Trends_orig.xlsx,data_harmonization:A1238,181,7,0,4,0
part 4.xlsx,Prob 18:O3,302,33,0,33,0
City Summary Template 1.xlsx,City Summary:K69,2563,4,0,2,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D6883,510,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A290,215,2,0,1,0
olist_groups1.xlsx,growths:B7,101,5,0,5,0
机器订单_2020-06-16.xlsx,订单:AG213,70,3,0,3,0
spread_input_jul30_1_12h.xlsx,Truckstops:D767,234,3,0,3,0
Bleaching Data MAP Final.xlsx,Sheet1:G1475,485,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Returns:R18,528,8,0,6,0
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Chart 3 - Archive ICU:A2,106,1,0,1,0
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:F4412,221,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CEA5,357,1,0,1,0
工作簿1 - 副本-20181124094219781.xlsx,不良明细:CEA5,259,1,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5635,295,2,0,1,0
short_msg_option_info_data.xlsx,备份:B14446,796,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J13669,147,1,0,1,0
House_Election_Data_2008.xlsx,Cong Dist:BD4906,4972,40,0,40,0
LE2018 ward-by-ward results (updated 08.05.18)_ID.xlsx,Totals:X88,938,15,0,3,0
SoA TEMP V3.11.0.xlsx,Undergr (2):F1051,22458,9,0,8,0
AllDataShapeSimulation.xlsx,Raw Data:K3768,843,1,0,1,0
Budget Doc.xlsx,Sheet1:AF10850,1746,6,0,6,0
Gastos.xlsx,Iniciales (PRESUPUESTO):Z614,12210,136,2,136,2
Slots.xlsx,Char count by slot:B44,99,2,0,2,0
stop_totals.xlsx,Sheet1:F2168,83,1,1,1,1
2020-02-10 0820 Analysis.xlsx,data:N2,1337,1,0,1,0
september-2-2021.xlsx,TestingByDate (Test Date):C3,1239,2,0,1,0
database_2016.xlsx,All data:I4705,911,3,0,1,0
ACI.xlsx,H=1.25-P=1.5:I37,153,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1009,3710,1450,19,1449,20
工作簿1-20181123115814614.xlsx,不良明细:CEA5,258,1,0,1,0
NUKE.xlsx,20150310_NUKE.csv:AC213,8043,7,0,3,0
Processed Data-pre.xlsx,Password Sequences:A1,330,1,0,1,0
recentAPIdata2019.xlsx,Sheet:N38267,1151,1,0,1,0
2019-06-19-0919_aristolochia_tormentosa.xlsx,Measurements:C11,817,17,1,6,1
employmentForecast_presto.xlsx,dataOrig:L42,221,11,0,11,0
StarterBook_SC.xlsx,Bonus:D4,401,9,0,9,0
工作簿1 - 副本-20181123095141663.xlsx,不良明细:CEA5,266,1,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16587,142,1,0,1,0
ML_Flatsheet_Revised.Asset.xlsx,ML_Flatsheet_Revised Updated:H11736,162,1,0,1,0
ExampleStudy.xlsx,Sources:E16,271,7,0,7,0
input_UC_iix2.xlsx,wind_test:I206,12328,4,0,4,0
KickstarterChallengeWColDeletes.xlsx,Kickstarter:J2877,171,2,0,2,0
bank_term_deposit.xlsx,DAILY RANGE:C11,65,3,0,2,0
advance_excel_project.xlsx,Sheet7 (2):D3,240,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CEA5,265,1,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,550,7,0,6,0
Copy of mytable_customer_details- solution.xlsx,mytable_customer_details:K1681,1743,4,0,3,0
enem_2012.xlsx,Sheet1:J127,67,1,0,1,0
Train_dataset (1).xlsx,Diuresis_TS:F6298,64,1,0,1,0
CL2.xlsx,Sheet30:B61,346,7,0,6,0
Fact2Sheet_Corona_20200605.xlsx,ComparisonInf:F2,1027,1,0,1,0
6502.xlsx,シート1:K3,2095,29,1,27,1
new_inventory.xlsx,Skin-Investments:A72,11837,1171,16,1171,17
VIL-2018-10.xlsx,22:AE12,205,9,0,9,0
covid-19-dashboard_1-31-2021.xlsx,TestingByDate (Test Date):G3,165,2,0,1,0
Capstone_Lariat.xlsx,2019_Fleet_Planning:C12,2776,22,1,21,1
Pagina_Inicio_PN.xlsx,Datos Pagina Inicial:V437,138,3,0,2,0
Fact2Sheet_Corona_20200706.xlsx,ComparisonInf:F2,1822,1,0,1,0
BAO CAO CHI 16.10-22.10 TEMPLATE.xlsx,Chi tiết:D87,1320,54,1,2,1
