fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,951,7,1,3,1
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,587,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,73,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2458,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,59,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,503,28,0,18,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,257,6,1,4,1
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,182,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,102,2,1,1,1
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,979,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,3774,69509,854734,69509,854812
edevlet-mezarlik-verileri.xlsx,Toplam:C452,259,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1446,48920,872,48920,919
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,991,118,2,117,2
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,Fail list:T5,489,468,3,1,3
工作簿1-20181122170147433.xlsx,不良明细:CEA5,98,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,354,5610,98,5610,103
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:E7,3667,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2268,946,11,1,11
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,571,5,1,5,1
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,94,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:B38,64,15,0,3,0
freeze_example.xlsx,Sheet:C529,403,1,1,1,1
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,386,29036,343,1,346
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,70,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,106,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,310,0,1,0,1
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,858,342,4,340,4
Solution_lesson_2.xlsx,All:F40,352,4002,46,3,47
MensTennisRPI.xlsx,RPI:B285,5386,1,0,1,0
webStore.xlsx,WebStore_copy:AD40,1241,0,0,0,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,248,227,1,1,1
fin-v8.xlsx,Sheet:O13944,6770,2,0,2,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2686,2,0,1,0
CPIvs行业.xlsx,资产配置结论:E616,5184,12004,32508,11999,32518
Coding Task.xlsx,Coding:M14882,656,2,0,1,0
ALMACEN      AGOSTO         2016.xlsx,PERNIL:C10,393,2422,27,1,28
greige provision.xlsx,Final:Q4,486,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:E370,94,11,0,10,0
main.xlsx,1m:B1675,910,8,0,7,0
30_70_2ptGuided.xlsx,Sheet1:D36,8602,3,0,2,0
Tio Cash Master 1600 1 seventh 0a in the neighborhood of.xlsx,1610 fam29 0.034482 old:F3,6473,3975,51,3968,54
MasterTestData.xlsx,Algo Format:R76,88,6,0,5,0
四象限行业选择.xlsx,日度数据:B4,446,4672,59,66,60
工作簿1-20181122140451052.xlsx,不良明细:CEA5,103,2,0,1,0
Scen_SE_IND_DemandProj.xlsx,Projection New:AK154,145,0,0,0,0
HS_videos_Smit_Cross_augmented_v06.xlsx,HS data:L105,473,2566,40,2536,41
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,522,6,1,1,1
DPS Calculator - Ninja.xlsx,Melee:B25,211,155,6,62,6
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,12951,190,3,1,3
Pro-Forma_Report_08012015_07_49_26.xlsx,Venues:C4,85,103,1,103,1
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,1113,30328,613,30328,644
valores_produtos.xlsx,dados:D3265,242,1,0,1,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,381,15,0,15,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,1180,4062,40,1,41
工作簿1-20181122154759510.xlsx,不良明细:CEA5,100,2,0,1,0
Raw.xlsx,calcs:X99,85,19,1,1,1
P_Gh_T_S.xlsx,Sheet1:C38,81,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,1112,2015,23,3,23
all cases and contacts 2021-07-01.xlsx,summary:D8925,1385,29,0,19,0
data_problem.xlsx,dwelling parameters:B2,1880,2,0,2,0
EST_TRANS.xlsx,DATOS:B9772,392,1,0,1,0
MM2-0530H.xlsx,2Rx2L:D153,130,3,1,2,1
红宝集合.xlsx,最初完整版（音频路径有误）:A3272,588,1,1,1,1
Excel模拟神经网络进行4000次迭代.xlsx,Sheet1:B4,2491,63944,1819,63943,1870
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,NewDistributions:AE39,60,3,0,2,0
