fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
NHL 2007-08.xlsx,Players:AQ1085,1520,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,92,858,15,850,16
KBandFilter.xlsx,20GHZ:E926,153,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H2900,887,13,0,13,0
ecosystems_calculations_20211130.xlsx,0107:D66,366,21,0,2,0
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,319,6600,134,6600,140
工作簿1-20181122163651735.xlsx,不良明细:CBJ5,99,2,0,1,0
freezeExample.xlsx,Sheet:C22908,481,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:K7647,724,1,0,1,0
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:C13,456,6600,121,6600,126
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Report:Y5,79,2526,28,1,29
TestTable.xlsx,Таблица по выездам:AE403,221,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,Arcade FSM:K17,4093,84,1,84,1
20204-0.xlsx,Calcu_ADJ:G3,53,1304,34,1304,35
dist.xlsx,triangular:F2,125,1001,36,3,36
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:O9,469,2452,38,1,39
Covid SJC.xlsx,Dados sim recup log:B600,204,388,7,384,7
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CBJ5,109,2,0,1,0
RE6685.xlsx,RE6685:E5993,679,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AS1505,4392,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:C37203,4443,2,0,1,0
vicon_udp_teensy.xlsx,200Hz_with_extra_64_python_xbee:B2,4390,11635,183,11635,193
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,233,2,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,108,2,1,1,1
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,90,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,352,10,0,2,0
abundance data.xlsx,Protein groups:AA6263,175,0,0,0,0
AllDataSpacing.xlsx,Raw Data:M4219,740,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,779,8007,226,8007,234
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,154,996,10,996,11
5_4_합성곱신경망.xlsx,학습:E16,225,4514,110,4514,113
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,921,2,0,1,0
EDA.xlsx,training:C6273,82,100,1,100,1
控制图.xlsx,输入:C11,246,4989,55,1,55
reference10_0.xlsx,Sheet0:B1011,292,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D6318,1854,12620,367,12620,380
updatedProduceSales.xlsx,Sheet:C22908,435,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B7,187,9528,119,9528,127
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,913,312,3,312,3
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,142,195,1,1,1
【第8回当日配布料】問題演習_第2回_確率.xlsx,（演習問題２）NYの気温データ:B14,762,24757,242,1,245
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,84,247,3,247,3
basecase.xlsx,Timeseries:F7487,1473,100,1,1,1
uniworld_dipimp_test.xlsx,American Affiliates:E7092,2129,1,0,1,0
data_banknote_authentication.xlsx,Data:M2,360,9884,148,9884,156
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,1117,0,0,0,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:M42,78,17,1,17,1
KPMG_file.xlsx,NewCustomerList:W368,850,1000,10,1,10
Supplemental_File_2.xlsx,Metab Abbr iJR904:B225757,3965,761,7,1,8
Empoyee Master.xlsx,Corrections July 2019:C86,650,1,0,1,0
Input data.xlsx,Sheet2:Q2060,503,7,0,2,0
big+troubles.xlsx,Action List:T26,94,3098,1932,3098,1934
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,1985,5483,103,1,105
covidImpact.xlsx,Sheet2:H31168,7398,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,805,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:N671,420,2,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,927,2093,41,2089,42
LEITE_COMPOSIÇÃO.xlsx,Plan1:Q788,450,16,0,15,1
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,5209,105120,4417,105120,4568
NH2012Trends_orig.xlsx,data_harmonization:B363,98,109,1,3,1
part 4.xlsx,Prob 23:L2265,607,7616,324,7616,331
City Summary Template 1.xlsx,City Summary:B58,1840,5,0,5,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D10727,534,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,64,4,0,1,0
olist_groups1.xlsx,growths:C3,89,7,0,7,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,161,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,387,12,0,6,0
