fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,483,5,1,5,1
resultsTesting10multi.xlsx,resultsTesting2504:P45,170,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,438,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,658,71,0,71,0
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,150,1,0,1,1
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1270,11,0,10,0
CL4.xlsx,Sheet30:B61,412,7,0,6,0
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,377,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,314,2,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,1614,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,513,1,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,2735,23,1,16,1
shoe_data.xlsx,Germany:AM28,402,0,0,0,0
出行属性.xlsx,Sheet1:I14097,1555,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,227,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,678,2,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,705,6,0,1,0
allTweets.xlsx,all:A2880,573,2,0,1,0
Hypotheekrente.xlsx,Lineair:C2,330,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,425,42,0,33,0
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,297,2,1,1,1
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,134,27,0,26,0
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,186,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:D5,150,4,1,1,1
DatenFormatiert.xlsx,Tabelle1:B4747,204,1,0,1,0
Accidents.xlsx,Data:X21117,353,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,9356,2,0,1,0
Test Runs.xlsx,Test 4b:B2,325,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,2868,848,21,614,21
DMD_PRJ.xlsx,COM:J4,5045,876,14,876,15
Sample1.xlsx,Tabelle1:A40452,1312,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,128,7,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,1993,9,0,4,0
common.xlsx,Traditional:A1798,265,2,0,2,0
OECD.xlsx,AUT:S212,317,2,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,234,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,1823,4,1,1,1
FN-2016-2019(1).xlsx,Monthly:B10,393,1,1,1,1
MLX90640 example data.xlsx,To calculation:B4,202,64,1,64,1
منزل النور.xlsx,المشاريع:A3,1062,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,1340,7,0,3,0
