fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,2,0,2,0
Prediction4_3_AL1.xlsx,Sheet2:H27,2,0,1,0
Cilk Final Results_1_Thread.xlsx,100map:I39,1,0,1,0
Kopie von Frank.xlsx,BOM:A6,1,0,1,0
2017_03_10_Soil_Plant_Fert_Data_Combined.xlsx,1998_2008_SoilMerged_2017_03_09:B84,1,0,1,0
2018-lv4-wbs.xlsx,CHANGELOG:E49,1,0,1,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,2,0,1,0
location.xlsx,Nicaragua:E158,1,0,1,0
shoe_data.xlsx,Germany:AM28,0,0,0,0
20200324-進銷存-SF4_Vietnam_Silicom.xlsx,進銷存(總表):Q51,1,0,1,0
出行属性.xlsx,Sheet1:I14097,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,2,0,1,0
allTweets.xlsx,all:A2880,2,0,1,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,147,2,107,2
Results_ICAPS21.xlsx,warehouse_96:O62,2,0,1,0
targets_pubchem.xlsx,Inhibitor annotation:C149,1,0,1,0
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,1572,12,1,12
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,167,2,84,2
darrell_schoolcraft__7302__imball0201.xlsx,NW:AC5,4,0,4,0
Project Data.xlsx,Outcome Based on Goal:D5,4,0,1,0
02_simplified.xlsx,coef_evolutif:C36,3,0,3,0
Accidents.xlsx,Data:X21117,1,0,1,0
mary_fischer__25623__31Y.xlsx,E12.XLS:M32,15,0,15,0
Unit_updateMeBom.xlsx,Material Price:H9,1,1,1,1
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,504,4,252,4
Project Gantt Chart v2.xlsx,GanttChart:D4,560,4,72,4
FQAPEE6自动折弯贴胶机资料.xlsx,直线交点计算:B6,4,0,2,0
Test Runs.xlsx,Test 4b:B2,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,875,16,614,16
OECD.xlsx,AUT:S212,16,0,1,0
relacao_geral_-_vodanet_-_15-06-2012.xlsx,VODANET:C344,2,0,1,0
Datu_apstrade_11kl_programmesana.xlsx,IF_3 (2):E8,3,0,1,0
MLX90640 example data.xlsx,To calculation:B4,1668,36,54,37
Prices 2003-2006_Australia.xlsx,Año 2005:L77,1,0,1,0
2.3关键路径.xlsx,Sheet1:H7,15,0,8,0
Gowerton_2014_RainfallComparision.xlsx,Comaprison:C11,5,0,3,0
GL_Driver_Safety_Report_ferguson_20211020_161749.xlsx,Pivot Tables:M8,1,0,1,0
realme stock 10.08.21.xlsx,Daily Report:F9,7,0,5,0
imdb.xlsx,imdb:B40,3,0,2,0
Section1All_xls.xlsx,10105 Qtr:F14,2,0,2,0
PRODUCT_HIERARCHY 2016.05.20f.xlsx,Product_Hierarchy:S2,1,0,1,0
Bauer_2011.xlsx,layer:I113,1,0,1,0
Demo_1.xlsx,11. Historical Data:E7,5,0,3,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,2,0,1,0
九点照度测试SOP.xlsx,九点照度测试-8:D38,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,1,0,1,0
