fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,3652,25,0,17,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,265,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,234,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,450,1,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,793,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,18383,263,16,13,16
edevlet-mezarlik-verileri.xlsx,Toplam:C452,551,1,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,2634,11,0,11,0
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,1851,31,0,30,0
工作簿1-20181122170147433.xlsx,不良明细:CEA5,821,1,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,1124,17,0,6,0
FullRes Capture conversion.xlsx,Peaks:E5,3663,1,0,1,0
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,1002,5,0,5,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,142,4,0,3,0
freeze_example.xlsx,Sheet:C529,952,1,0,1,0
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,126,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,214,2,1,1,1
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,2059,10,0,8,0
Solution_lesson_2.xlsx,All:F40,775,2,0,2,0
MensTennisRPI.xlsx,RPI:B285,6725,1,1,1,1
webStore.xlsx,WebStore_copy:AD40,4564,0,0,0,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,634,1,0,1,0
fin-v8.xlsx,Sheet:O13944,11239,2,0,2,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2730,2,0,1,0
Coding Task.xlsx,Coding:M14882,600,2,0,1,0
greige provision.xlsx,Final:Q4,588,5,0,5,0
BRITANNICA PROJECT EXPENSES.xlsx,CASH 79ST:E370,760,11,1,10,1
main.xlsx,1m:B1675,1824,6,0,5,0
30_70_2ptGuided.xlsx,Sheet1:D36,9056,2,0,2,0
MasterTestData.xlsx,Algo Format:R76,516,6,1,5,1
工作簿1-20181122140451052.xlsx,不良明细:CEA5,515,1,0,1,0
Scen_SE_IND_DemandProj.xlsx,Projection New:AK154,509,0,0,0,0
HS_videos_Smit_Cross_augmented_v06.xlsx,HS data:L105,1211,32,0,27,0
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:L67,836,6,0,1,0
DPS Calculator - Ninja.xlsx,Melee:B25,628,38,0,38,0
BBG_Security_Application_User_List_v5_1.xlsx,Organization:A738,32069,190,2,1,2
Quizzes_17.2_17.3.xlsx,Quiz 17.3:B1,2178,22,0,22,0
Spreadsheet_Challenge_V2.xlsx,pivot (5):D5,515,15,0,15,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,4234,1,0,1,0
工作簿1-20181122154759510.xlsx,不良明细:CEA5,806,1,0,1,0
Raw.xlsx,calcs:X99,310,19,0,1,0
P_Gh_T_S.xlsx,Sheet1:C38,241,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:D13,3026,4,1,3,1
all cases and contacts 2021-07-01.xlsx,summary:D8925,2498,26,0,19,0
data_problem.xlsx,dwelling parameters:B2,1320,2,0,2,0
MM2-0530H.xlsx,2Rx2L:D153,324,3,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A3272,865,1,0,1,0
物理作业11.xlsx,Sheet1:HN152,2601,1,0,1,0
NHL 2007-08.xlsx,Players:BY1188,5513,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:C195,952,11,0,7,0
KBandFilter.xlsx,20GHZ:I1172,153,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H43,889,7,0,7,0
ecosystems_calculations_20211130.xlsx,0107:F79,415,15,0,4,0
2019-05-10-1102_empty_racir.xlsx,Measurements:C11,859,17,1,6,1
工作簿1-20181122163651735.xlsx,不良明细:CEA5,555,1,0,1,0
freezeExample.xlsx,Sheet:C21947,321,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:J5725,458,1,0,1,0
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:D13,807,20,0,5,0
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Pivot Tables:M8,90,1,0,1,0
TestTable.xlsx,Таблица по выездам:AG330,388,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,FSM:I1495,3865,6,1,5,1
20204-0.xlsx,Calcu_ADJ:L3,244,61,1,54,1
dist.xlsx,triangular:G2,75,2,0,2,0
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:F1298,833,1,0,1,0
Covid SJC.xlsx,Planilha1:B2,539,10,0,10,0
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CEA5,403,1,0,1,0
RE6685.xlsx,RE6685:C4071,449,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AA8433,3558,0,0,0,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:D26632,3508,1,0,1,0
vicon_udp_teensy.xlsx,less_didgits_200Hz_xbee:B1419,3591,3,0,1,0
KickstarterCampaignAnalysis.xlsx,Sheet1:I3390,322,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CEA5,810,1,0,1,0
