fileName,Max Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
SAM-0.2 OR30x100-0.75_4 dataset analysis.xlsx,State026:B88,6,0,1,0
NaturalFlows1906-2015.xlsx,AnnualWYTotal Natural Flow:Y58,1,0,1,0
DPS Calculator - Ninja.xlsx,Weaponskill:B543,1536,21,512,22
BBG_Security_Application_User_List_v5_1.xlsx,Position:BF5,1317,13,1,14
EUR_DEMO_CurvesBootstrapping2.xlsx,EURON:E1,50,0,3,0
BaoGia2_24112016.xlsx,QR 5@:D18,8,1,8,1
usdjpy_opt1.xlsx,Sheet1:C996845,51,0,1,0
Quizzes_17.2_17.3.xlsx,Quiz 17.3:D1,37358,634,12822,657
NUTS2021.xlsx,Coastal regions:F5,1514,19,1,20
Spreadsheet_Challenge_V2.xlsx,pivot (5):G18,31,0,31,0
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,REMISIONES ABRIL  2016  :B3,4062,31,1,31
工作簿1-20181122154759510.xlsx,不良明细:CBJ5,2,0,1,0
chris_germany__2628__CES Invoice Jan2000.xlsx,SD's Chris to Unify  Recon:AN227,0,0,0,0
Group_Allocator.xlsx,Student_Data:E366121,6,0,6,0
P_Gh_T_S.xlsx,Sheet1:C1003,2,0,2,0
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,Thẻ kho:E13,2015,16,2,16
all cases and contacts 2021-07-01.xlsx,summary:C599,36,1,23,1
vkaminski__40662__RC0826_WJK_0921.xlsx,Detail:I352,128,1,11,1
PLAN_ORÇAMENTO DCP MODELO.xlsx,PLAN ESP:T22,11,0,8,0
-1432056791.xlsx,data:B8651,4,0,3,0
data_problem.xlsx,PVs:B5,3,0,1,0
EST_TRANS.xlsx,DATOS:B10219,1,0,1,0
ENCERTICUS_Programme_Matrice_V4_2014_S23.xlsx,2_CHAUFFAGE:C22,135,1,45,1
Sutrons_Pacings worksheet_Storm1.xlsx,Sheet10:A1,119,0,1,0
2011_Pioneer_AVR_IP_&_RS-232_USA Models_8.6-1.xlsx,commands list:L8,24,0,24,0
currentRackDeliveryPlan.xlsx,Rack Delivery Plan:U2042,1,0,1,0
p9453_0119.xlsx,מניות:L11,140,1,5,1
Region_NE.xlsx,Daily Charts:B368,365,2,1,2
Situk 1988-2021 95%_MissFill--Heinl--17_Dec_2021.xlsx,WhatWasMissed_4Day:U118,102,0,34,0
LLC-RESONANT-HALF-BRIDGE-CONVERTER-DESIGN-TOOL-FOR-FAN7688 - 750315915.xlsx,Sheet3:A7,205,1,103,1
plane_based_Observations.xlsx,Sheet6:E24,4,1,4,1
summer project.xlsx,Sheet1:AJ6,0,0,0,0
Data_for_ML.xlsx,Yangon_Covid_active_cases:H198,43,1,1,1
Optimization (Monthly)- Cons. Disc..xlsx,Analysis:D20,37,0,8,0
CAR_FORMULARIO_OFFILINE.xlsx,Dashboard:B997,9,0,1,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,858,13,848,14
KBandFilter.xlsx,20GHZ:E926,1,0,1,0
SSV1b_TimeRange.xlsx,Sheet1:P2,16833,184,1,189
California Correlation Weekly (export).xlsx,Cases+Deaths:I4,50,0,1,0
ecosystems_calculations_20211130.xlsx,0107:D66,21,0,2,0
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,6600,177,1650,181
GL_Driver_Safety_Report_ferguson_20211022_151701.xlsx,Report:Y5,2219,19,1,20
freezeExample.xlsx,Sheet:C22908,1,0,1,0
Residents_Aggregated.xlsx,Summary:I56,2,0,2,0
GLC Inflation month end data_1979 to 15.xlsx,1. fwds- short end:B4,71,0,2,0
02-2017 ST Giant.xlsx,VPP Giant 02-2017:P23,6,0,2,0
Domestic_Q1_Q4_2015_Central.xlsx,ลพบุรี:MM2,0,0,0,0
AfDD_2022_TradeStats - Export regions (time series).xlsx,OECDGraphCopy:U28,1,0,1,0
ltc.xlsx,dash:B981,7,1,5,1
DP_ speed_and_formulas.xlsx,Jedna stránka:F15,11,0,4,0
TestTable.xlsx,Таблица по выездам:AE403,0,0,0,0
Trabalho de OP - Mayta S Custodio.xlsx,matriz e solver:G13,11,0,3,0
20204-0.xlsx,Calcu_ADJ:G3,1304,22,262,23
dist.xlsx,triangular:F2,1001,18,3,18
LouisvilleMetro_Covid-19_Data_November172020.xlsx,Mann-Kendall Trend Tests - BETA:A55,30,1,5,1
StandardNormalDistribution.xlsx,PDF(ProbabilityDistributionFunc:D24,23,0,2,0
DASCUCINPUT1.xlsx,RESERVECOST:B39,1,0,1,0
2-8-2019.xlsx,Summary:B3,30,0,1,0
dataExam2016.xlsx,GARCH:B75,2,0,1,0
EUR_DEMO_CurvesBootstrapping.xlsx,EURON:E1,50,0,3,1
test-answer-epsilon.4-2.xlsx,test-answer:B23,1,0,1,0
Ag Sankey.xlsx,data to plot - old:E16,3,0,1,0
ujian tahfidz dicetak.xlsx,ujian:A9,42,0,21,0
LucasBouissa_1_Lucas1.xlsx,No modificar!!:C35,42,0,18,0
Data_original.xlsx,e:Z14,1,0,1,0
REPORTE_MENSUAL_mes_de_abril_JAVIER_2.xlsx,RMI - ABRIL 2017:T21,4,0,1,0
VQAT_Stock forecast for each and all stores.xlsx,MOQ-306:BC10,0,0,0,0
unicorns_data_and_graphs.xlsx,Raw:A25,4,0,4,0
60604ca90abd1.xlsx,Province:B7,1,0,1,0
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,2,0,1,0
4.2012.xlsx,ფორმა N 8.1:C17,26,0,1,0
Ranking_2020-11-19.xlsx,avrange of n:AG973,1,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,2,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,10,1,2,1
abundance data.xlsx,Protein groups:AA6263,0,0,0,0
AllDataSpacing.xlsx,Raw Data:M4219,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,8007,150,4009,155
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,996,9,996,9
5_4_합성곱신경망.xlsx,학습:E16,4514,87,1730,90
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,2,0,1,0
EDA.xlsx,training:C6273,100,1,34,1
Tio Cash Master 1450old Find Ratio Graph sq and ratio all shaded inverse curve.xlsx,1450 find sq ratio all :I5,596,5,120,5
控制图.xlsx,输入:C11,4989,62,1,63
reference10_0.xlsx,Sheet0:B1011,1,1,1,1
20190614 154055 Cut 2 效益.xlsx,多點斷筋:W305857,12,0,3,0
ENE-2016-facturacion-asistencia-tecnica.xlsx,Convenio:D2,2,1,1,1
DegreeAnalysis.xlsx,Sheet1:H23,27,0,3,0
prototipo.xlsx,Hoja1:Y358,2,0,1,0
Data_Tomate.xlsx,Data_supp_table1Belouah2019:L129,6,0,1,0
代码自测结果表_陈秋明.xlsx,代码自测结果表:E15,5,0,2,0
updatedProduceSales.xlsx,Sheet:C22908,1,0,1,0
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,312,2,312,2
LR4-2.xlsx,Задание 3:A2,61,1,12,1
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,195,1,1,2
top100work_directors.xlsx,sheet3:C13,1,0,1,0
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,247,2,83,2
basecase.xlsx,Timeseries:F7487,100,1,1,1
Analysis_Final.xlsx,Graphs_RETURNS COMPARISON:O218,12,0,9,0
sampleDistanceCalculations.xlsx,_fit235754964:D36,6,0,5,0
熱収支 (最終) .xlsx,日射:F4,54,1,53,1
St. Agnes Hospital.xlsx,CDM:J29,2,0,1,0
data_banknote_authentication.xlsx,Data:M2,9884,113,2474,118
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,0,0,0,0
INSERTAR CLIENTES JMURCIA Y GMONTEALEGRE.xlsx,INSERT MUNICIPIO:C203,1,0,1,0
ListBetweenTwoDates.xlsx,Report:D3,28,0,2,0
03_IS_COVID19_DENNI_DATA_risk_vyvoj_2021leden15.xlsx,Výskyt COVID-19 KRAJE:D23,10,0,6,0
KPMG_file.xlsx,NewCustomerList:W368,1000,10,1,10
SolicitudGrafica_CN_11_04_CO_REC150.xlsx,Solicitud gráfica:G4,299,3,299,3
Livrable_3-A2_CPi_MdF_Correction_v2.xlsx,Calculs Généraux:G8,62,0,27,0
SSC_grab_samples.xlsx,Grab_raw_input:D501,23,1,6,1
Stock 26.07.20.xlsx,Target & Achivement:D13,54,0,27,0
NAP_XTKB_UNI.xlsx,dt_mh_config:AJ519,0,0,0,0
Empoyee Master.xlsx,Corrections July 2019:C86,1,1,1,1
Input data.xlsx,Sheet2:Q2060,7,0,2,0
Stock 09.03.20.xlsx,Target & Achivement:D6,54,0,27,0
søknad_03_pisk_regnskap_v16.xlsx,REGNSKAP:CE42,3,0,3,0
0to20.xlsx,DE:C7,2,0,1,0
1641177248Patrick Kenney - Amazing Products Sold (SFBA) - $40K - Women's Apparel - 8_23_21.xlsx,Sheet1:D511,8,0,4,0
exam_3.xlsx,Problem 4:D20,23,0,12,0
02-06-2018_104146Đề nghị mua của TPB theo danh sách từ ngày 16 - 31.01.2018-1.xlsx,Đề nghị mua hàng:C17,2,0,2,0
big+troubles.xlsx,Action List:T26,3098,1468,1077,1470
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,5483,76,1,79
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,6,0,1,0
StarterBook - tk06.xlsx,Formatted Data:N671,2,0,1,0
comuni_italiani.xlsx,comuni_italiani:E7545,1,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,2093,26,2089,27
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,105120,1543,35040,1633
NH2012Trends_orig.xlsx,data_harmonization:B363,109,2,3,2
part 4.xlsx,Prob 23:L2265,7616,102,5078,107
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,4,1,1,1
Cap 04_Censo SUAS 2017 RH_Final_V3.xlsx,CDIA Gráfico 5_OK:B4,28,0,27,1
RMS-RA数据核对2017-03-18.xlsx,RMS-RA数据核对:E17,7,0,5,0
realme stock 03.08.21.xlsx,Daily Report:I11,7,0,5,0
LLE_2040_2070.xlsx,Llei_HADGEM:B351,1,0,1,0
olist_groups1.xlsx,growths:C3,7,1,3,1
机器订单_2020-06-16.xlsx,订单:V8,5,0,5,0
darrell_schoolcraft__7837__ONEOKRECAP2001.xlsx,July 01:A6,61,0,60,0
Master Security Classification.xlsx,Passive Allocation:P3,40,0,8,0
lisa_gang__22349__EES_Schedule.xlsx,EES-Schedule day 1:G11,14,0,14,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,1,0,1,0
Queue-2mill-1024-prod.xlsx,Queue-2mill-1024-prod:A10585,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,12,0,6,0
