fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,383,25,0,17,0
shoe_data.xlsx,Germany:AM28,591,0,1,0,1
出行属性.xlsx,Sheet1:I14097,2410,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,220,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,251,2,0,1,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,530,6,0,1,0
allTweets.xlsx,all:A2880,821,2,0,1,0
Hypotheekrente.xlsx,Lineair:C2,349,1439,9,1439,10
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,79,147,2,133,2
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,203,1572,9,1,9
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,148,167,1,166,1
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,271,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:D5,212,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B4747,96,1,0,1,0
Accidents.xlsx,Data:X21117,424,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,1193,504,2,504,2
Test Runs.xlsx,Test 4b:B2,271,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,745,875,13,614,13
DMD_PRJ.xlsx,COM:J4,776,5459,267,5459,271
Sample1.xlsx,Tabelle1:A40452,2633,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,119,9,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,1916,10011,84,4,89
common.xlsx,Traditional:A1798,100,2,0,2,0
OECD.xlsx,AUT:S212,170,16,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,213,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2209,4,0,1,0
FN-2016-2019(1).xlsx,Monthly:B10,83,35,0,1,0
MLX90640 example data.xlsx,To calculation:B4,50,1668,15,1668,16
منزل النور.xlsx,المشاريع:A3,166,355,1,1,2
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,913,7,0,3,0
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,500,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,70,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2326,1,1,1,1
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,56,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,509,28,0,18,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,208,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,178,11,1,4,1
工作簿1-20181123094550369.xlsx,不良明细:CEA5,101,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,930,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,3425,69509,47762,69509,47845
edevlet-mezarlik-verileri.xlsx,Toplam:C452,250,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1418,48920,434,48920,481
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C3,1014,118,1,117,1
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,Fail list:T5,473,468,2,1,2
工作簿1-20181122170147433.xlsx,不良明细:CEA5,100,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:C11,375,5610,52,5610,56
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:E7,3628,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,2276,946,5,1,5
2017 PoB by Race All.xlsx,PoB KC Tracts:R90,580,5,0,5,1
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T54,99,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:B38,63,15,0,3,0
freeze_example.xlsx,Sheet:C529,407,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,375,29036,162,1,168
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):I187,67,2,0,2,0
countytractfiles.xlsx,Sheet1:A5847,106,2,0,1,0
mercury1650pt.xlsx,siptm:AY6483,337,0,0,0,0
Ex4-5 Team Rating v2 (4).xlsx,Model:T85,831,342,3,340,4
Solution_lesson_2.xlsx,All:F40,383,4002,26,3,28
MensTennisRPI.xlsx,RPI:B285,5219,1,0,1,0
webStore.xlsx,WebStore_copy:AD40,1225,0,0,0,0
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,168,227,1,1,1
fin-v8.xlsx,Sheet:O13944,6676,2,0,2,0
IPZ Precio Arriendo Venta Rentabilidad Score Barrio.xlsx,Datos Brutos:G11216,2677,2,0,1,0
CPIvs行业.xlsx,资产配置结论:E616,5033,12004,6984,11999,6996
Coding Task.xlsx,Coding:M14882,628,2,0,1,0
