fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
منزل النور.xlsx,المشاريع:A3,166,355,3,1,4
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,769,13968,175,13968,185
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,471,6,1,1,1
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,96,2,0,1,0
accum-temperature.xlsx,Лист1:B2885,2312,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,71,2,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,427,92,1,92,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,169,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,132,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,131,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,782,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,2793,69509,862665,69509,862747
edevlet-mezarlik-verileri.xlsx,Toplam:B73,164,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1103,48920,547,48920,589
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1019,118,1,117,1
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,InProcess Conf:BA682143,505,0,0,0,0
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,118,2,0,1,0
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,368,6600,135,6600,138
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:C82,2873,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,1877,946,8,1,8
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,384,6,0,6,0
36-4f54e4360dc6fd7070026565f3bbea16-1327968647.xlsx,formulario P-2011:T33,682,4,0,3,0
SunlightCalculator.xlsx,Arkusz2:P4,65,2922,35,2922,37
freeze_example.xlsx,Sheet:B1043,280,1,0,1,0
wykaz_czasopism_18-12-2019.xlsx,Czasopisma:B3,292,29036,218,1,220
Richness_Ephemeroptera_Plecoptera_Allgenera.xlsx,Dørålseter (Dovre):H15,48,2,0,2,0
countytractfiles.xlsx,Sheet1:A6009,92,2,0,1,0
mercury1650pt.xlsx,siptm:BB918,409,0,0,0,0
Ex4-5 Team Rating v2 (4).xlsx,Model:O2914,684,2466,27,2465,28
Solution_lesson_2.xlsx,All:G144984,528,4001,38,1,39
MensTennisRPI.xlsx,RPI:H3,4181,2613,21,1,22
webStore.xlsx,WebStore_dupes_marked:M2,850,1699,33,2,35
relacao_geral_-_vodanet_-_07-04-2014.xlsx,Anatel:N1213,114,227,1,1,1
fin-v8.xlsx,Sheet:F12022,5315,2,0,1,0
