fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:J963,1278,6,0,4,0
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CBJ5,175,2,0,1,0
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,未审报表分析:D31,342,92,1,92,1
shoe_data.xlsx,Al Bundy:C14970,440,14967,154,3,159
出行属性.xlsx,Sheet1:M66068,1784,1,0,1,0
KickStarter Data Analysis.xlsx,Data:N2930,228,2,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,Overall US Pres Results & PVIs:JJ12,184,3,0,3,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:B44,469,6,0,1,0
allTweets.xlsx,all:A17295,637,2,0,1,0
Hypotheekrente.xlsx,Lineair:C114,280,991,9,991,9
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:CI10,59,218,5,89,5
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G3,169,1572,10,1,11
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,uitacces:A2,168,4470,47,1,48
ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,140,1,1,1,1
Project Data.xlsx,Outcome Based on Goal:C10,189,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B5708,140,1,0,1,0
Accidents.xlsx,Data:AF17,279,0,0,0,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,866,504,4,504,4
Test Runs.xlsx,Test 6:L8,327,4000,38,1,39
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):Q8060,538,876,16,615,17
DMD_PRJ.xlsx,IND:D4,821,6338,150,6335,153
Sample1.xlsx,Tabelle1:A773,2068,1,0,1,0
tasa-de-homicidios.xlsx,Vinculacion_Geografico:G32,126,718,5,1,5
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C1097,1493,10011,135,4,137
common.xlsx,Traditional:A1548,83,2,0,2,0
OECD.xlsx,AUT:R211,126,16,0,1,0
SolvedStarterBook.xlsx,Bonus:C12,179,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T1978,1632,4,0,1,0
FN-2016-2019(1).xlsx,2019:AB17,61,12,0,1,0
MLX90640 example data.xlsx,To calculation:B4,88,1668,33,1668,34
منزل النور.xlsx,المشاريع:A3,139,355,2,1,2
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:J1,844,13968,269,13968,280
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:B88,379,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M205,49,2,0,1,0
accum-temperature.xlsx,Лист1:B2885,2204,2,0,2,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:A758,71,2,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,未审报表分析:D32,353,92,1,92,1
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B9,153,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U3441,218,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CBJ5,146,2,0,1,0
GEW.2012.JML.xlsx,E2 ISR raw data:C10931,686,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,2781,69509,755808,69509,755869
edevlet-mezarlik-verileri.xlsx,Toplam:B73,170,7,0,1,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,1405 fam19 ratio:C5,1092,48920,625,48920,655
Dataset 1 - RAWS and Veer - 01.xlsx,Levels:C2,1025,118,1,117,1
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,InProcess Conf:BA682143,509,0,0,0,0
工作簿1-20181122170147433.xlsx,不良明细:CBJ5,159,2,1,1,1
2019-05-11-0752_drimys_winteri.xlsx,Measurements:E13,371,6600,134,6600,137
CPC_no_partition_WB_FIFO_results.xlsx,CPC_contentions:C82,2616,9,0,9,0
FullRes Capture conversion.xlsx,Peaks:E5,1716,946,7,1,7
2017 PoB by Race All.xlsx,PoB KC Tracts:Y342,419,6,1,6,1
