fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
MM2-0530H.xlsx,P1dB Pt:R17,600,2,0,2,0
红宝集合.xlsx,最初完整版（音频路径有误）:A6507,1075,1,0,1,0
物理作业11.xlsx,Sheet1:IR152,2538,1,0,1,0
NHL 2007-08.xlsx,Players:AQ1085,5380,0,0,0,0
mary_fischer__25393__yr 2001 Commissioning Summary 2-26-02.xlsx,Feb 2002:A9,936,44,1,36,1
KBandFilter.xlsx,20GHZ:E926,147,1,0,1,0
MatrizTransición.xlsx,3X3INBURSA:H2900,872,7,0,7,0
ecosystems_calculations_20211130.xlsx,0107:D66,338,21,1,2,1
2019-05-10-1102_empty_racir.xlsx,Measurements:E13,850,20,1,5,1
工作簿1-20181122163651735.xlsx,不良明细:CBJ5,568,1,0,1,0
freezeExample.xlsx,Sheet:C22908,413,1,0,1,0
DailyTradeCounts_2016_2020.xlsx,20160101_20181130:K7647,462,1,0,1,0
2019-07-03-1019_rhododendron_campylocarpum.xlsx,Measurements:C13,825,20,1,5,1
GL_Driver_Safety_Report_ferguson_20211031_095848.xlsx,Report:Y5,73,1,0,1,0
TestTable.xlsx,Таблица по выездам:AE403,395,0,0,0,0
Quarterly-Engage-UA-Revenue.xlsx,Arcade FSM:K17,3667,83,0,83,0
20204-0.xlsx,Calcu_ADJ:G3,183,63,1,57,1
dist.xlsx,triangular:F2,75,2,0,2,0
Southern Water Corp Statistical Analysis.xlsx,DRT Rolling Stdev:O9,820,1,1,1,1
Covid SJC.xlsx,Dados sim recup log:B600,537,23,1,23,1
工作簿1 - 副本-20181124101521380.xlsx,不良明细:CBJ5,399,1,0,1,0
RE6685.xlsx,RE6685:E5993,451,1,0,1,0
ABACUS_NUMSPECSTOT (Autosaved).xlsx,ABACUS_NUMSPECSTOT:AS1505,2822,1,0,1,0
2020-09 Cleaned.xlsx,202009-divvy-tripdata:C37203,3208,2,0,1,0
vicon_udp_teensy.xlsx,200Hz_with_extra_64_python_xbee:B2,4199,5,0,5,0
KickstarterCampaignAnalysis.xlsx,Sheet1:E3021,312,2,0,1,0
工作簿1-20181123094550279.xlsx,不良明细:CBJ5,846,1,0,1,0
All London 2012 athletes.xlsx,ALL ATHLETES:K9909,300,1,0,1,0
datacite_template_20200424_test.xlsx,metadata:A78,858,10,0,2,0
abundance data.xlsx,Protein groups:AA6263,367,0,0,0,0
AllDataSpacing.xlsx,Raw Data:M4219,1286,1,0,1,0
FirstLink - Copy 2.xlsx,logt via t:A4,1219,9,0,9,0
Enhanced_0-level_11-4-2016.xlsx,Sheet1:A17,1189,498,5,498,5
5_4_합성곱신경망.xlsx,학습:E16,2392,1634,27,1634,29
all-geocodes-v2018 (1).xlsx,v2018geocodes:G7903,1190,2,0,1,0
EDA.xlsx,training:C6273,182,10,1,9,1
控制图.xlsx,输入:C11,582,2,0,1,0
reference10_0.xlsx,Sheet0:B1011,482,1,0,1,0
Twin_house_O5_exp1_10minR1_volum.xlsx,Twin_house_O5_exp1_10min:D6318,3990,6,1,5,1
updatedProduceSales.xlsx,Sheet:C22908,329,1,0,1,0
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,bitcoinEMA:B7,217,7,0,6,0
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,Dailies Summary:C100,7717,312,4,312,4
relacao_geral_-_vodanet_-_08-05-2013.xlsx,Faturamento:H391,198,1,0,1,0
【第8回当日配布料】問題演習_第2回_確率.xlsx,（演習問題２）NYの気温データ:B14,674,1,0,1,0
Real-Statistics-Examples-ANOVA-1.xlsx,Anova Resamp 1:T6,515,6,0,6,0
basecase.xlsx,Timeseries:F7487,1749,1,0,1,0
uniworld_dipimp_test.xlsx,American Affiliates:E7092,1492,1,0,1,0
data_banknote_authentication.xlsx,Data:M2,375,12,0,6,0
DMS(Data Matching Schedule)_R0(Seq2)_220110.xlsx,Gutters:AB86,1746,0,0,0,0
10gen_stwd_pct.xlsx,Lt Gov to Voting Statistics:M42,411,17,0,17,0
KPMG_file.xlsx,NewCustomerList:W368,957,3,0,1,0
Supplemental_File_2.xlsx,Metab Abbr iJR904:B225757,4555,1,0,1,0
Empoyee Master.xlsx,Corrections July 2019:C86,743,1,0,1,0
Input data.xlsx,Sheet2:Q2060,810,7,0,2,0
big+troubles.xlsx,Action List:T26,241,18,0,12,0
MER_DataElements_Public.xlsx,de_currnames_namechange:B2,2136,1,0,1,0
covidImpact.xlsx,Sheet2:H31168,4683,1,0,1,0
SAM-0.05 OR5x100-0.75_6 dataset analysis.xlsx,State026:B66,1360,6,1,1,1
StarterBook - tk06.xlsx,Formatted Data:N671,470,2,0,1,0
2014.12 Thermal Decay .xlsx,Three Fourths 2pt:F7,1446,9,0,5,0
LEITE_COMPOSIÇÃO.xlsx,Plan1:Q788,1208,12,0,12,0
WM3796_LT_timeseries_normalization.xlsx,WM3022_LT_timeseries_scaled:D33629,3977,5,0,1,0
NH2012Trends_orig.xlsx,data_harmonization:B363,551,7,0,3,0
part 4.xlsx,Prob 23:L2265,464,11,0,10,0
City Summary Template 1.xlsx,City Summary:B58,3352,5,0,5,0
体验课资料_双十一淘宝美妆数据.xlsx,体验课资料_双十一淘宝美妆数据:D10727,855,1,0,1,0
Burnham Center for Chemical Genomics_edited_20121217_Ian_for_upload.xlsx,Assay Definition:A198,525,3,0,1,0
olist_groups1.xlsx,growths:C3,113,7,0,7,0
Bleaching Data MAP Final.xlsx,Sheet1:H458,1161,1,0,1,0
MacIC-Portfolio-V1-Jan-28-2017.xlsx,Portfolio Metrics:J4,771,10,0,6,0
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B16%2BNovember%2B2021.xlsx,Table 4 - Delayed Discharges:B347946,128,2,0,1,0
robin_rodrigue__33371__FTCan_Gas_Bench.xlsx,Detail:E1797,276,1,0,1,0
工作簿1 - 副本-20181123111607388.xlsx,不良明细:CBJ5,856,1,0,1,0
DR2 Voice Line Transcripts.xlsx,English Transcripts:I5026,631,2,0,1,0
short_msg_option_info_data.xlsx,备份:B16111,1390,3,0,2,0
订单管理系统.xlsx,客户下单明细表:J12018,357,2,0,2,0
House_Election_Data_2008.xlsx,Cong Dist:AR4006,5750,7,0,3,0
SoA TEMP V3.11.0.xlsx,Setup1:R2079,25194,16,1,15,1
AllDataShapeSimulation.xlsx,Raw Data:K5690,1023,1,0,1,0
Budget Doc.xlsx,Sheet1:AG6818,1893,0,0,0,0
Gastos.xlsx,Iniciales (PRESUPUESTO):BD15,22342,2,1,2,1
Slots.xlsx,Decomposition:A25560,2752,1,0,1,0
stop_totals.xlsx,Sheet1:F3129,363,1,0,1,0
2020-02-10 0820 Analysis.xlsx,data:N2,992,1,0,1,0
september-2-2021.xlsx,TestingByDate (Test Date):F3,1981,2,0,1,0
database_2016.xlsx,All data:J3936,1492,7,0,2,0
ACI.xlsx,H=1.25-P=1.5:B322,675,2,0,2,0
indexes for automatovie sector.xlsx,ReferenceData:C1005,4686,1624,43,1565,45
NUKE.xlsx,20150310_NUKE.csv:S2345,11319,11,0,4,0
Processed Data-pre.xlsx,NormalData:AD553,807,55,1,55,1
recentAPIdata2019.xlsx,Sheet:N32501,2085,1,0,1,0
GPSC_CTD_2016.4.25.xlsx,CTD:Q16844,325,1,0,1,0
ExampleStudy.xlsx,Sources:AA4,2139,0,0,0,0
KickstarterChallengeWColDeletes.xlsx,OutcomesBasedOnGoals:D2,645,4,0,1,0
bank_term_deposit.xlsx,DAILY RANGE:C4,243,3,0,3,0
advance_excel_project.xlsx,Sheet7 (2):C4,417,4,0,1,0
工作簿1 - 副本-20181124102119337.xlsx,不良明细:CBJ5,478,1,0,1,0
qpcr_template_ottawa_wide.xlsx,Ottawa community data:AG5,821,4,0,2,0
Copy of mytable_customer_details- solution.xlsx,Table5_Dates:A19,1912,5,0,1,0
enem_2012.xlsx,Sheet1:K2049,127,1,0,1,0
CL2.xlsx,Sheet30:B35,384,7,0,6,0
Fact2Sheet_Corona_20200605.xlsx,LastWeek:I3,1202,152,2,87,2
VIL-2018-10.xlsx,22:AE16,239,1,0,1,0
covid-19-dashboard_1-31-2021.xlsx,TestingByDate (Test Date):C3,169,2,0,1,0
Capstone_Lariat.xlsx,2019_Fleet_Planning:C17,2734,20,0,20,0
Pagina_Inicio_PN.xlsx,Datos Pagina Inicial:Z491,261,3,0,2,0
Fact2Sheet_Corona_20200706.xlsx,7_Average_Fat:HQ2,3350,0,0,0,0
BAO CAO CHI 16.10-22.10 TEMPLATE.xlsx,Chi tiết:L7,1840,55,0,4,0
Day4.xlsx,Calculations:QX215,20967,3,0,3,0
工作簿1-20181122124718157.xlsx,不良明细:CBJ5,807,1,0,1,0
DRAFT_COC_database_20200915_2056_SENT_TO_NTMWD.xlsx,COC_RiskScore:S1,2362,4,0,4,0
lecture6p_2021.xlsx,F-F_Research_Data_Factors_daily:F656,58,1,0,1,0
REMISIONES--DICIEMBRE    --- 2 0 1 4.xlsx,OBRADOR REM :A2,5270,265,2,265,2
benjamin_rogers__1261__Consolidated 6 Peaker-062000.xlsx,Depreciation:Z49,1357,345,5,345,5
REMISIONES   OBRADOR   MARZO    2017.xlsx,E N E R O      2 0 1 7      :E3270,1247,6,0,6,0
Kickstarter_Challenge 1.xlsx,Outcomes Based on Goals:D4,262,4,1,1,1
manual_grad_rates_corrections_2018.xlsx,grad_rates:R24,410,3,0,2,0
oysters_gtm.xlsx,SPAT:D6025,428,1,0,1,0
px-x-1702020000_105 - Parteien - filledup.xlsx,px-x-1702020000_105:C43389,1727,1,0,1,0
hw_6_2.xlsx,model:D2195,481,16,0,16,0
USA list.xlsx,Feuil1:E2,246,1,0,1,0
工作簿1-20181122164802381.xlsx,不良明细:CBJ5,484,1,0,1,0
虎林码头11月过车详情.xlsx,202011:G10660,303,1,0,1,0
dt upload SIMP MEI 2018.xlsx,Sheet2:A643,774,1,0,1,0
VIL-2015-08.xlsx,AUG 26:Q10,221,9,0,9,0
分解法乘法 C.xlsx,分解法:R41,1186,19,0,7,0
House_Election_Data_1994.xlsx,Candidates:F13,6004,1,0,1,0
재료비.xlsx,07. IK:H2,9813,2465,45,2465,48
test-products.xlsx,луковатый:J9,4982,8,1,7,1
100ms.xlsx,Data:BV3,188,0,0,0,0
工作簿1-20181122135748760.xlsx,不良明细:CBJ5,485,1,0,1,0
UWP_Pointer_Log.xlsx,Drag_Swipe:L5,770,4,0,4,0
All naked-eye visible stars & nebulae.xlsx,Sheet1:E1083,680,1,0,1,0
Oithona_Microsetella_1.xlsx,Лист1:T1814,1759,2,0,1,0
FlowCalib.xlsx,Napa:X7,8068,2,0,2,0
zad5.xlsx,D:M1,168,3,0,1,0
cerner_model.xlsx,CodeSet:G55,506,1,0,1,0
初中科学浙江初中科学中考真题及模拟试卷分析表2的副本.xlsx,Sheet1:AK618,1969,0,0,0,0
Dashboard_M5_Price_Monthly_2018-09-17-02-09-03.xlsx,SNG:I43106,1660,1,0,1,0
Distrito-5.xlsx,DETERMINACION:D6,751,30,0,30,0
VIL-2015-01.xlsx,JAN 18:Q34,336,9,0,9,0
工作簿1 - 副本-20181126095151763.xlsx,不良明细:CBJ5,807,1,0,1,0
医療需要予測ツール_オミクロンとブースター考慮版v3_20220103.xlsx,短期予測:B24,1086,318,3,312,3
Kickstarter_Challenge_copy.xlsx,Outcomes Based on Goals:B2,240,4,0,1,0
Employment and Wage Data Project - FINAL.xlsx,Main Data:B2,819,14,0,14,0
DataSet.xlsx,Sheet6:AC18,372,0,0,0,0
AHP_Psychometric - weighted.xlsx,AHP Example:O85,3786,33,0,33,0
Scen_SE_ELC_DH-Pipes.xlsx,Next_to_DH_W_D:E2,317,3,0,2,0
Copia de carga 4 playera.xlsx,datos de carga:AF4,449,0,0,0,0
2019-06-15-0720_dryopteris_carthusiana.xlsx,Measurements:E13,1201,20,0,5,0
Input_data_general.xlsx,Prod_limit_country:D1,2404,1,0,1,0
Sta Hujan Pegasing.xlsx,Bulanan:A68,1572,5,0,5,0
Sendy.xlsx,Raw Data:H508735,949,1,0,1,0
工作簿1 - 副本-20181123094545958.xlsx,不良明细:CBJ5,794,1,0,1,0
Vinci.xlsx,n100:L7,3043,681,6,680,7
CDBG FY18.xlsx,reallocations and reductions:I9,344,4,0,3,0
credit_test_my_data_1.xlsx,Лист1:X4105,398,1,0,1,0
DT-2020-N-B53-TT343-56.xlsx,40:BA1131,11481,0,0,0,0
Apple Appstore Data.xlsx,Apple Appstore Data:J4599,239,1,0,1,0
timeseries_tracertest_Kortright_7hr.xlsx,Hydrograph_TracerTest:D544,496,1,0,1,0
2019-05-13-0954_abies_pinsapo.xlsx,Measurements:E13,885,20,0,5,0
outputTablesState.xlsx,7.3_FL_WA:AK19,8584,11,0,11,0
REMISIONES--MARZO    --- 2 0 1 5.xlsx,OBRADOR REM :A2,4488,265,2,265,2
Skill_Data_PD2.xlsx,Sheet1:B833,2696,119,2,119,2
KickStarter My Chart.xlsx,Bonus-Goals:B3,375,4,0,1,0
analysis_step_wise_l1.xlsx,normalizing:D245,128,19,0,19,0
Reference Ch. test@1M SPL PCB Display ON_210216.xlsx,FFT_R2R5@Port Type:D36832,2850,2,0,1,0
charitychoice.co.uk.xlsx,Charitychoice.co.uk Data:E20796,1781,1,0,1,0
2019-05-16-1035_empty_racir.xlsx,Measurements:E13,915,20,0,5,0
StarterBook - Alon Rosner.xlsx,Data:N3628,436,2,0,1,0
工作簿1 - 副本-20181126100441319.xlsx,不良明细:CBJ5,600,1,0,1,0
SMOK.xlsx,Arkusz1:A2,558,19,0,15,0
Ashley County Medical Center.xlsx,OP Services:E2205,4228,25,0,4,0
