fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,322,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,145,9,0,4,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,363,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,5535,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,1094,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,351,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,303,31,0,28,0
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,1167,3,0,3,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,4059,18,0,9,0
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,578,25,0,25,0
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,133,3,1,3,1
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,632,221,3,221,3
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,795,111,1,110,1
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,246,37,1,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,100,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,152,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,130,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,357,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F38,63,2,0,1,0
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,260,7,1,6,1
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,1150,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,119,32,0,30,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,434,71,1,55,1
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,4578,20,0,9,0
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,904,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,383,1,0,1,0
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,1327,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,1130,3,0,3,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,159,1,1,1,1
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,1199,3,0,3,0
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,264,0,0,0,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,799,221,3,221,3
don_baughman_000_1_1.pst.189.xls,Sheet1:C38,357,37,1,21,1
fletcher_sturm_000_1_1.pst.99.xls,Filter-new:B1,1044,16,0,10,0
don_baughman_000_1_1.pst.200.xls,8-1:C38,705,37,0,21,0
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,353,37,1,21,1
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,157,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,624,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,1151,0,0,0,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,1071,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,A:DR249,976,33,1,32,1
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,1066,105,3,59,3
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,1257,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,994,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,355,37,0,21,0
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,741,111,1,110,1
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,845,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,268,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,305,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,477,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,105,32,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,152,9,0,5,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,102,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,356,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,131,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,2667,0,1,0,1
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,1150,3,0,3,0
