fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,138,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,349,49,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,204,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,644,32,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,389,461,6,461,7
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,1399,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,263,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,159,235,3,233,3
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,266,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,121,46,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,196,366,6,364,6
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,283,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,905,3,1,2,1
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,354,251,4,251,4
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,378,461,6,461,6
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,247,61,0,61,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,96,4,0,4,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2683,4385,877,4385,882
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,376,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,77,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,677,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,1443,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,2082,20,1,1,1
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,89,235,3,233,3
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,2346,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,1621,899,524,899,525
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,410,461,7,461,7
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,121,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,130,37,0,21,0
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,85,3,0,3,0
